timestamp,TimeUS,ACCx
149.92416800,149924168,-0.10534487664699554
149.92469000,149924690,-0.10055647045373917
149.92523300,149925233,-0.10055647045373917
149.92575700,149925757,-0.10534487664699554
149.92627900,149926279,-0.1149216815829277
149.92680500,149926805,-0.11971008777618408
149.92753100,149927531,-0.12449848651885986
149.92755300,149927553,-0.12449848651885986
149.92805800,149928058,-0.12449848651885986
149.92854800,149928548,-0.1149216815829277
149.92907300,149929073,-0.11013327538967133
149.92959600,149929596,-0.11013327538967133
149.93014300,149930143,-0.1149216815829277
149.93066600,149930666,-0.11971008777618408
149.93119500,149931195,-0.12449848651885986
149.93171800,149931718,-0.12449848651885986
149.93224100,149932241,-0.12449848651885986
149.93278300,149932783,-0.12449848651885986
149.93329700,149933297,-0.12449848651885986
149.93387500,149933875,-0.11971008777618408
149.93448700,149934487,-0.1149216815829277
149.93502800,149935028,-0.11013327538967133
149.93559000,149935590,-0.11013327538967133
149.93610200,149936102,-0.10534487664699554
149.93612300,149936123,-0.10055647045373917
149.93660400,149936604,-0.10055647045373917
149.93712700,149937127,-0.10534487664699554
149.93767200,149937672,-0.1149216815829277
149.93818600,149938186,-0.11971008777618408
149.93870600,149938706,-0.1149216815829277
149.93923100,149939231,-0.11013327538967133
149.93975500,149939755,-0.10534487664699554
149.94028300,149940283,-0.10055647045373917
149.94080900,149940809,-0.10055647045373917
149.94147700,149941477,-0.09576806426048279
149.94200100,149942001,-0.09576806426048279
149.94253800,149942538,-0.10055647045373917
149.94306400,149943064,-0.10055647045373917
149.94358800,149943588,-0.10534487664699554
149.94411100,149944111,-0.11013327538967133
149.94463700,149944637,-0.11013327538967133
149.94519600,149945196,-0.11013327538967133
149.94521800,149945218,-0.11971008777618408
149.94569700,149945697,-0.12449848651885986
149.94621800,149946218,-0.12928688526153564
149.94674400,149946744,-0.12928688526153564
149.94726600,149947266,-0.1149216815829277
149.94779600,149947796,-0.10534487664699554
149.94831900,149948319,-0.10055647045373917
149.94897300,149948973,-0.11013327538967133
149.94949600,149949496,-0.11971008777618408
149.95003200,149950032,-0.12449848651885986
149.95055500,149950555,-0.12449848651885986
149.95108000,149951080,-0.11971008777618408
149.95160200,149951602,-0.11971008777618408
149.95212600,149952126,-0.11971008777618408
149.95266700,149952667,-0.11013327538967133
149.95318400,149953184,-0.10055647045373917
149.95371000,149953710,-0.10055647045373917
149.95423200,149954232,-0.11013327538967133
149.95475500,149954755,-0.10534487664699554
149.95531300,149955313,-0.10055647045373917
149.95533700,149955337,-0.10055647045373917
149.95581200,149955812,-0.10534487664699554
149.95648300,149956483,-0.11013327538967133
149.95701200,149957012,-0.1149216815829277
149.95753800,149957538,-0.1149216815829277
149.95808300,149958083,-0.11013327538967133
149.95859100,149958591,-0.11013327538967133
149.95912100,149959121,-0.10534487664699554
149.95964500,149959645,-0.10534487664699554
149.96017900,149960179,-0.11013327538967133
149.96069900,149960699,-0.1149216815829277
149.96121900,149961219,-0.1149216815829277
149.96174500,149961745,-0.11971008777618408
149.96226900,149962269,-0.11971008777618408
149.96280100,149962801,-0.1149216815829277
149.96340200,149963402,-0.1149216815829277
149.96342300,149963423,-0.12449848651885986
149.96397800,149963978,-0.12928688526153564
149.96450200,149964502,-0.12449848651885986
149.96503500,149965035,-0.12449848651885986
149.96555800,149965558,-0.12449848651885986
149.96608000,149966080,-0.1149216815829277
149.96660300,149966603,-0.1149216815829277
149.96713100,149967131,-0.11971008777618408
149.96767000,149967670,-0.11971008777618408
149.96819100,149968191,-0.11971008777618408
149.96871600,149968716,-0.11013327538967133
149.96924000,149969240,-0.10534487664699554
149.96976500,149969765,-0.10534487664699554
149.97029400,149970294,-0.10534487664699554
149.97081800,149970818,-0.1149216815829277
149.97149900,149971499,-0.11971008777618408
149.97152300,149971523,-0.12449848651885986
149.97199700,149971997,-0.12449848651885986
149.97252900,149972529,-0.1149216815829277
149.97305600,149973056,-0.1149216815829277
149.97357900,149973579,-0.1149216815829277
149.97410600,149974106,-0.1149216815829277
149.97462600,149974626,-0.12449848651885986
149.97517100,149975171,-0.12449848651885986
149.97569400,149975694,-0.1149216815829277
149.97621500,149976215,-0.10534487664699554
149.97673900,149976739,-0.10534487664699554
149.97726300,149977263,-0.11013327538967133
149.97779200,149977792,-0.11971008777618408
149.97831600,149978316,-0.12928688526153564
149.97897200,149978972,-0.13407529890537262
149.97949600,149979496,-0.12928688526153564
149.98003100,149980031,-0.12928688526153564
149.98059500,149980595,-0.12449848651885986
149.98111000,149981110,-0.1149216815829277
149.98113200,149981132,-0.11013327538967133
149.98160600,149981606,-0.11013327538967133
149.98214200,149982142,-0.11013327538967133
149.98267000,149982670,-0.10534487664699554
149.98319900,149983199,-0.10055647045373917
149.98371800,149983718,-0.10055647045373917
149.98424500,149984245,-0.10055647045373917
149.98476700,149984767,-0.11013327538967133
149.98529800,149985298,-0.11971008777618408
149.98587700,149985877,-0.11971008777618408
149.98647300,149986473,-0.11971008777618408
149.98699700,149986997,-0.11971008777618408
149.98752900,149987529,-0.11013327538967133
149.98808700,149988087,-0.10055647045373917
149.98860700,149988607,-0.10055647045373917
149.98913900,149989139,-0.10534487664699554
149.98968700,149989687,-0.11013327538967133
149.98970800,149989708,-0.11971008777618408
149.99020600,149990206,-0.11971008777618408
149.99072200,149990722,-0.11971008777618408
149.99125400,149991254,-0.11971008777618408
149.99177200,149991772,-0.11971008777618408
149.99229600,149992296,-0.11013327538967133
149.99288000,149992880,-0.10055647045373917
149.99349100,149993491,-0.10055647045373917
149.99401200,149994012,-0.10055647045373917
