timestamp,TimeUS,Ground_Truth
149.92408100,149924081,0
149.92461900,149924619,0
149.92514500,149925145,0
149.92568400,149925684,0
149.92620900,149926209,0
149.92673400,149926734,0
149.92742900,149927429,0
149.92795400,149927954,0
149.92847900,149928479,0
149.92900200,149929002,0
149.92952600,149929526,0
149.93006100,149930061,0
149.93059000,149930590,0
149.93111800,149931118,0
149.93164600,149931646,0
149.93216900,149932169,0
149.93269400,149932694,0
149.93322400,149933224,0
149.93380600,149933806,0
149.93441800,149934418,0
149.93494800,149934948,0
149.93547700,149935477,0
149.93600300,149936003,0
149.93653200,149936532,0
149.93705800,149937058,0
149.93758200,149937582,0
149.93811200,149938112,0
149.93863700,149938637,0
149.93916000,149939160,0
149.93968300,149939683,0
149.94020700,149940207,0
149.94073500,149940735,0
149.94140600,149941406,0
149.94192900,149941929,0
149.94245800,149942458,0
149.94298600,149942986,0
149.94351300,149943513,0
149.94404000,149944040,0
149.94456500,149944565,0
149.94509400,149945094,0
149.94562300,149945623,0
149.94614800,149946148,0
149.94667200,149946672,0
149.94719600,149947196,0
149.94772100,149947721,0
149.94824600,149948246,0
149.94890300,149948903,0
149.94942700,149949427,0
149.94995100,149949951,0
149.95048100,149950481,0
149.95100700,149951007,0
149.95153100,149951531,0
149.95205600,149952056,0
149.95258000,149952580,0
149.95310800,149953108,0
149.95363700,149953637,0
149.95416000,149954160,0
149.95468500,149954685,0
149.95520900,149955209,0
149.95573700,149955737,0
149.95641300,149956413,0
149.95693600,149956936,0
149.95746100,149957461,0
149.95799400,149957994,0
149.95852200,149958522,0
149.95904800,149959048,0
149.95957400,149959574,0
149.96009700,149960097,0
149.96062500,149960625,0
149.96115000,149961150,0
149.96167400,149961674,0
149.96219700,149962197,0
149.96272200,149962722,0
149.96330700,149963307,0
149.96390700,149963907,0
149.96443000,149964430,0
149.96495500,149964955,0
149.96548400,149965484,0
149.96601000,149966010,0
149.96653300,149966533,0
149.96705900,149967059,0
149.96758700,149967587,0
149.96811600,149968116,0
