timestamp,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
149.84789500,149847895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.85039700,149850397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.85286700,149852867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.85595600,149855956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.85788100,149857881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.86038400,149860384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.86288900,149862889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.86534400,149865344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.86838200,149868382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.87039100,149870391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.87287900,149872879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.87542400,149875424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.87788400,149877884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.88082300,149880823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.88290100,149882901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.88533100,149885331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.88788300,149887883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.89039800,149890398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.89372700,149893727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.89541500,149895415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.89782500,149897825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.90037800,149900378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.90289300,149902893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.90609700,149906097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.90788300,149907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.91039300,149910393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.91290100,149912901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.91540600,149915406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.91827500,149918275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149.92038100,149920381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
