timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
89.13216800,89132168,1,0.002830269280821085,-1.317192436545156e-05,0.00033349954173900187,-0.49128293991088867,-0.1503673642873764,-9.95030689239502,0,0,44.0,1,1,1995,2060
89.13397100,89133971,1,0.0025545605458319187,-0.00033954379614442587,0.00028850260423496366,-0.49546945095062256,-0.15036450326442719,-9.96073055267334,0,0,44.0,1,1,1995,2060
89.13622700,89136227,1,0.002034758450463414,-0.0004712699737865478,0.00038691647932864726,-0.4982488751411438,-0.14958250522613525,-9.972909927368164,0,0,44.0,1,1,1995,2060
89.13867700,89138677,1,0.001620805007405579,-3.435665712459013e-05,-0.00018116565479431301,-0.5011992454528809,-0.14858859777450562,-9.981051445007324,0,0,44.0,1,1,1995,2060
89.14142000,89141420,1,0.0014123711735010147,-0.00010172802285524085,-0.0007685028831474483,-0.5017195343971252,-0.14532780647277832,-9.983561515808105,0,0,44.0,1,1,1995,2060
89.14368800,89143688,1,0.0008766102255322039,-0.000333236763253808,-0.00022458347666542977,-0.5030367374420166,-0.13850289583206177,-9.98861026763916,0,0,44.0,1,1,1995,2060
89.14646800,89146468,1,0.0006054214900359511,-0.0005932411295361817,0.00013607832079287618,-0.503541886806488,-0.13165314495563507,-9.994645118713379,0,0,44.0,1,1,1995,2060
89.14886700,89148867,1,0.00076552719110623,-0.0012824676232412457,-0.00016178697114810348,-0.5024513602256775,-0.12887483835220337,-9.998945236206055,0,0,44.0,1,1,1995,2060
89.15119100,89151191,1,0.00045186487841419876,-0.001310394611209631,-0.00014323974028229713,-0.5026812553405762,-0.1294216811656952,-9.994702339172363,0,0,44.0,1,1,1995,2060
89.15390900,89153909,1,4.9833972298074514e-05,-0.0011655547423288226,-0.00042177148861810565,-0.5022191405296326,-0.1311938762664795,-9.993550300598145,0,0,44.0,1,1,1995,2060
89.15621600,89156216,1,5.4609135986538604e-05,-0.0008838886278681457,-0.0006513322005048394,-0.4988132417201996,-0.13442577421665192,-9.99145221710205,0,0,44.0,1,1,1995,2060
89.15889900,89158899,1,0.000221701615373604,-0.0001273125526495278,-0.00043867240310646594,-0.4917135536670685,-0.13840487599372864,-9.98702335357666,0,0,44.0,1,1,1995,2060
89.16118400,89161184,1,0.0002906691515818238,0.0007156156352721155,-0.00014049273158889264,-0.48319971561431885,-0.14294734597206116,-9.978025436401367,0,0,44.0,1,1,1995,2060
89.16365700,89163657,1,0.0006119189201854169,0.0008030588505789638,-5.473056444316171e-05,-0.4776584506034851,-0.1436535269021988,-9.967020988464355,0,0,44.0,1,1,1995,2060
89.16642200,89166422,1,0.0011166326003149152,-9.4726296083536e-05,-0.0004534776380751282,-0.47683167457580566,-0.1395445019006729,-9.959877014160156,0,0,44.0,1,1,1995,2060
89.16874300,89168743,1,0.0009750748286023736,-0.00028743172879330814,-0.0004281611181795597,-0.48011693358421326,-0.1372092366218567,-9.958646774291992,0,0,44.0,1,1,1995,2060
89.17141600,89171416,1,0.0006134654977358878,0.00011693083069985732,-0.00012721733946818858,-0.48479196429252625,-0.13565249741077423,-9.958500862121582,0,0,44.0,1,1,1995,2060
89.17368700,89173687,1,0.00017115010996349156,0.00027291104197502136,-0.0003935113491024822,-0.49072226881980896,-0.13264767825603485,-9.958850860595703,0,0,44.0,1,1,1995,2060
89.17618500,89176185,1,9.611197310732678e-05,0.0003715555358212441,-0.00041505665285512805,-0.49265632033348083,-0.1331179141998291,-9.959827423095703,0,0,44.0,1,1,1995,2060
89.17889700,89178897,1,0.0003046070341952145,-0.0001805173815228045,1.303767476201756e-05,-0.49599912762641907,-0.13613325357437134,-9.961386680603027,0,0,44.0,1,1,1995,2060
89.18117500,89181175,1,0.0010954218450933695,-0.0007882265490479767,0.0004618112579919398,-0.4982040226459503,-0.14029665291309357,-9.962726593017578,0,0,44.0,1,1,1995,2060
89.18411300,89184113,1,0.0014085356378927827,-0.0014428398571908474,0.0004989145672880113,-0.495970219373703,-0.140986368060112,-9.962339401245117,0,0,44.0,1,1,1995,2060
89.18617400,89186174,1,0.001350777572952211,-0.002138076350092888,0.00038035906618461013,-0.4943479895591736,-0.13981860876083374,-9.962163925170898,0,0,44.0,1,1,1995,2060
89.18874700,89188747,1,0.0013498264597728848,-0.002290048636496067,0.0003747972077690065,-0.4904579818248749,-0.1385391652584076,-9.959625244140625,0,0,44.0,1,1,1995,2060
89.19169700,89191697,1,0.0015359343960881233,-0.002468727296218276,0.0003413803642615676,-0.4890749454498291,-0.13816261291503906,-9.96127700805664,0,0,44.0,1,1,1995,2060
89.19372600,89193726,1,0.0018517477437853813,-0.003118493128567934,0.0003656976914498955,-0.48983266949653625,-0.13935892283916473,-9.966996192932129,0,0,44.0,1,1,1995,2060
89.19656000,89196560,1,0.0019070690032094717,-0.0028671533800661564,0.0008499353425577283,-0.4892260730266571,-0.14316426217556,-9.970062255859375,0,0,44.0,1,1,1995,2060
89.19870800,89198708,1,0.0015858084661886096,-0.0022374012041836977,0.0008128292392939329,-0.4873187243938446,-0.14825274050235748,-9.97064208984375,0,0,44.0,1,1,1995,2060
89.20115900,89201159,1,0.0015777101507410407,-0.0011490453034639359,0.000580012274440378,-0.48686861991882324,-0.1511220484972,-9.972166061401367,0,0,44.0,1,1,1995,2060
89.20392100,89203921,1,0.0017646203050389886,-0.0006697486387565732,-3.368793477420695e-05,-0.4850950837135315,-0.1522127091884613,-9.971723556518555,0,0,44.0,1,1,1995,2060
89.20622700,89206227,1,0.0023622396402060986,6.762985867680982e-05,-0.0003430302895139903,-0.4841136038303375,-0.15268667042255402,-9.967794418334961,0,0,44.0,1,1,1995,2060
89.20891500,89208915,1,0.0024317537900060415,0.0016179656377062201,-0.0003358957474119961,-0.48328259587287903,-0.1514391154050827,-9.962336540222168,0,0,44.0,1,1,1995,2060
89.21119300,89211193,1,0.002745362464338541,0.001822158694267273,-0.0003059951704926789,-0.4862214922904968,-0.14840999245643616,-9.957765579223633,0,0,44.0,1,1,1995,2060
89.21368300,89213683,1,0.0026216390542685986,0.0022921611089259386,-0.00034428536309860647,-0.4874386787414551,-0.14708395302295685,-9.950980186462402,0,0,44.0,1,1,1995,2060
89.21640000,89216400,1,0.0026298684533685446,0.0024673433508723974,-0.00036025483859702945,-0.488256573677063,-0.14490704238414764,-9.943700790405273,0,0,44.0,1,1,1995,2060
89.21872200,89218722,1,0.002839102176949382,0.0025312118232250214,-0.0005277764284983277,-0.4865739047527313,-0.1408170461654663,-9.938666343688965,0,0,44.0,1,1,1995,2060
89.22137500,89221375,1,0.0021639226470142603,0.0031819127034395933,-0.0005437168292701244,-0.48530420660972595,-0.13855665922164917,-9.935593605041504,0,0,44.0,1,1,1995,2060
89.22369400,89223694,1,0.0014314526924863458,0.003152623539790511,-0.00048366954433731735,-0.487053781747818,-0.13766199350357056,-9.938072204589844,0,0,44.0,1,1,1995,2060
89.22617000,89226170,1,0.00037992786383256316,0.0028095466550439596,-0.00033736854675225914,-0.486759215593338,-0.13713738322257996,-9.943001747131348,0,0,44.0,1,1,1995,2060
89.22892200,89228922,1,-0.0008057269151322544,0.001813559327274561,5.0157930672867224e-05,-0.48809048533439636,-0.1375977247953415,-9.9502534866333,0,0,44.0,1,1,1995,2060
89.23193600,89231936,1,-0.0010905249509960413,0.0010198670206591487,0.00010457322787260637,-0.48966675996780396,-0.13843519985675812,-9.960355758666992,0,0,44.0,1,1,1995,2060
89.23388600,89233886,1,-0.0010908154072239995,0.0004939360660500824,0.00033473953953944147,-0.48854222893714905,-0.13824047148227692,-9.963372230529785,0,0,44.0,1,1,1995,2060
89.23612700,89236127,1,-0.0007686075405217707,0.00038058278732933104,2.1407158783404157e-05,-0.4884125888347626,-0.1383216381072998,-9.968832015991211,0,0,44.0,1,1,1995,2060
89.23863700,89238637,1,-0.0005124423187226057,-0.00020318353199400008,0.0007230766932480037,-0.48998042941093445,-0.1375369131565094,-9.973953247070312,0,0,44.0,1,1,1995,2060
89.24127600,89241276,1,-0.0002967512991745025,-0.0007037422037683427,0.0010942445369437337,-0.49007731676101685,-0.13884611427783966,-9.979004859924316,0,0,44.0,1,1,1995,2060
89.24363000,89243630,1,-0.000369256769772619,-0.0008736594463698566,0.0011689523234963417,-0.4895603358745575,-0.140773206949234,-9.984752655029297,0,0,44.0,1,1,1995,2060
89.24634200,89246342,1,4.812298357137479e-05,-0.0017171275103464723,0.0009939898736774921,-0.4856349229812622,-0.14230726659297943,-9.98819637298584,0,0,44.0,1,1,1995,2060
