timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1683644731.85977101,82044669,-35.3621323,149.1650853,634.3499755859375,50.2935791015625,50.263580322265625
1683644731.86227012,82047168,-35.362131999999995,149.1650853,634.3499755859375,50.293548583984375,50.2635498046875
1683644731.86476898,82049667,-35.3621318,149.1650853,634.3499755859375,50.29351806640625,50.263519287109375
1683644731.86726809,82052166,-35.3621316,149.1650853,634.3499755859375,50.29348373413086,50.263484954833984
1683644731.86976719,82054665,-35.362131399999996,149.1650853,634.3499755859375,50.293453216552734,50.26345443725586
1683644731.87226605,82057164,-35.3621311,149.1650853,634.3499755859375,50.29362106323242,50.26362228393555
1683644731.87476516,82059663,-35.3621309,149.1650853,634.3499755859375,50.2935905456543,50.26359176635742
1683644731.87726402,82062162,-35.3621307,149.1650853,634.3499755859375,50.293556213378906,50.26355743408203
1683644731.87976313,82064661,-35.3621305,149.1650853,634.3499755859375,50.29352569580078,50.263526916503906
1683644731.88226199,82067160,-35.362130199999996,149.1650853,634.3499755859375,50.29349136352539,50.263492584228516
1683644731.88476110,82069659,-35.36213,149.1650853,634.3499755859375,50.29365539550781,50.26365661621094
1683644731.88726020,82072158,-35.3621298,149.1650853,634.3499755859375,50.29362106323242,50.26362228393555
1683644731.88975906,82074657,-35.362129599999996,149.1650853,634.3499755859375,50.2935905456543,50.26359176635742
1683644731.89225817,82077156,-35.3621293,149.1650853,634.3499755859375,50.293556213378906,50.26355743408203
1683644731.89475703,82079655,-35.3621291,149.1650853,634.3499755859375,50.29352569580078,50.263526916503906
1683644731.89725614,82082154,-35.3621289,149.1650853,634.3499755859375,50.293678283691406,50.26367950439453
1683644731.89975500,82084653,-35.3621287,149.1650853,634.3499755859375,50.293643951416016,50.26364517211914
1683644731.90225410,82087152,-35.3621285,149.1650853,634.3499755859375,50.29361343383789,50.263614654541016
1683644731.90475321,82089651,-35.3621282,149.1650853,634.3499755859375,50.2935791015625,50.263580322265625
1683644731.90725207,82092150,-35.362128,149.1650853,634.3499755859375,50.293548583984375,50.2635498046875
1683644731.90975118,82094649,-35.362127799999996,149.1650853,634.3499755859375,50.29369354248047,50.263694763183594
1683644731.91225004,82097148,-35.3621276,149.1650853,634.3499755859375,50.29365921020508,50.2636604309082
1683644731.91474915,82099647,-35.3621273,149.1650853,634.3499755859375,50.29362487792969,50.26362609863281
1683644731.91724801,82102146,-35.362127099999995,149.1650853,634.3499755859375,50.29359436035156,50.26359558105469
1683644731.91974711,82104645,-35.3621269,149.1650853,634.3499755859375,50.29356002807617,50.2635612487793
1683644731.92224622,82107144,-35.3621267,149.1650853,634.3499755859375,50.293697357177734,50.26369857788086
1683644731.92474508,82109643,-35.3621264,149.1650853,634.3499755859375,50.29366683959961,50.263668060302734
1683644731.92724419,82112142,-35.3621262,149.1650853,634.3499755859375,50.29363250732422,50.263633728027344
1683644731.92974305,82114641,-35.362125999999996,149.1650853,634.3499755859375,50.29359817504883,50.26359939575195
1683644731.93224216,82117140,-35.3621258,149.1650853,634.3499755859375,50.29356384277344,50.26356506347656
1683644731.93474102,82119639,-35.3621255,149.1650853,634.3499755859375,50.29372024536133,50.26372146606445
1683644731.93724012,82122138,-35.362125299999995,149.1650853,634.3499755859375,50.29368591308594,50.26368713378906
1683644731.93973899,82124637,-35.3621251,149.1650853,634.3499755859375,50.29365158081055,50.26365280151367
