timestamp,TimeUS,ACCx,TimeUS2,ACCx2
70.28345900,70283459,-0.3412025570869446,70283459,-0.3412025570869446
70.28607000,70286070,-0.3364141583442688,70286070,-0.3364141583442688
70.28867500,70288675,-0.3364141583442688,70288675,-0.3364141583442688
70.29129000,70291290,-0.3364141583442688,70291290,-0.3364141583442688
70.29389100,70293891,-0.3412025570869446,70293891,-0.3412025570869446
70.29649600,70296496,-0.3412025570869446,70296496,-0.3412025570869446
70.29847900,70298479,-0.3412025570869446,70298479,-0.3412025570869446
70.30107800,70301078,-0.3412025570869446,70301078,-0.3412025570869446
70.30367800,70303678,-0.3412025570869446,70303678,-0.3412025570869446
70.30629700,70306297,-0.3412025570869446,70306297,-0.3412025570869446
70.30890100,70308901,-0.3507794141769409,70308901,-0.3507794141769409
70.31150900,70311509,-0.3507794141769409,70311509,-0.3507794141769409
70.31412000,70314120,-0.3555678129196167,70314120,-0.3555678129196167
70.31672700,70316727,-0.3603562116622925,70316727,-0.3603562116622925
70.31870900,70318709,-0.3603562116622925,70318709,-0.3603562116622925
70.32132000,70321320,-0.36514461040496826,70321320,-0.36514461040496826
70.32392200,70323922,-0.36514461040496826,70323922,-0.36514461040496826
70.32652400,70326524,-0.36514461040496826,70326524,-0.36514461040496826
70.32912500,70329125,-0.3603562116622925,70329125,-0.3603562116622925
70.33173400,70331734,-0.3603562116622925,70331734,-0.3603562116622925
70.33434500,70334345,-0.3603562116622925,70334345,-0.3603562116622925
70.33694700,70336947,-0.3555678129196167,70336947,-0.3555678129196167
70.33954900,70339549,-0.3603562116622925,70339549,-0.3603562116622925
70.34153100,70341531,-0.3555678129196167,70341531,-0.3555678129196167
70.34412700,70344127,-0.3555678129196167,70344127,-0.3555678129196167
70.34674000,70346740,-0.34599095582962036,70346740,-0.34599095582962036
70.34933900,70349339,-0.34599095582962036,70349339,-0.34599095582962036
70.35194200,70351942,-0.3412025570869446,70351942,-0.3412025570869446
70.35455300,70354553,-0.3364141583442688,70354553,-0.3364141583442688
70.35715800,70357158,-0.3412025570869446,70357158,-0.3412025570869446
70.35975600,70359756,-0.3364141583442688,70359756,-0.3364141583442688
70.36173400,70361734,-0.3412025570869446,70361734,-0.3412025570869446
70.36433700,70364337,-0.3412025570869446,70364337,-0.3412025570869446
70.36694500,70366945,-0.3364141583442688,70366945,-0.3364141583442688
70.36954900,70369549,-0.3364141583442688,70369549,-0.3364141583442688
70.37215800,70372158,-0.3364141583442688,70372158,-0.3364141583442688
70.37476500,70374765,-0.3364141583442688,70374765,-0.3364141583442688
70.37736600,70377366,-0.3412025570869446,70377366,-0.3412025570869446
70.37997500,70379975,-0.34599095582962036,70379975,-0.34599095582962036
70.38195700,70381957,-0.3507794141769409,70381957,-0.3507794141769409
70.38456300,70384563,-0.3555678129196167,70384563,-0.3555678129196167
70.38716900,70387169,-0.3603562116622925,70387169,-0.3603562116622925
70.38977300,70389773,-0.3555678129196167,70389773,-0.3555678129196167
70.39238500,70392385,-0.3555678129196167,70392385,-0.3555678129196167
70.39499500,70394995,-0.34599095582962036,70394995,-0.34599095582962036
70.39760600,70397606,-0.34599095582962036,70397606,-0.34599095582962036
70.40021600,70400216,-0.3412025570869446,70400216,-0.3412025570869446
70.40219800,70402198,-0.3364141583442688,70402198,-0.3364141583442688
70.40480100,70404801,-0.3364141583442688,70404801,-0.3364141583442688
70.40741700,70407417,-0.3364141583442688,70407417,-0.3364141583442688
70.41001500,70410015,-0.3364141583442688,70410015,-0.3364141583442688
70.41262600,70412626,-0.3364141583442688,70412626,-0.3364141583442688
70.41522900,70415229,-0.3364141583442688,70415229,-0.3364141583442688
70.41783600,70417836,-0.3412025570869446,70417836,-0.3412025570869446
70.42044200,70420442,-0.3412025570869446,70420442,-0.3412025570869446
70.42242100,70422421,-0.3412025570869446,70422421,-0.3412025570869446
70.42502800,70425028,-0.3364141583442688,70425028,-0.3364141583442688
70.42762800,70427628,-0.3364141583442688,70427628,-0.3364141583442688
70.43024100,70430241,-0.331625759601593,70430241,-0.331625759601593
70.43284200,70432842,-0.331625759601593,70432842,-0.331625759601593
70.43544200,70435442,-0.3364141583442688,70435442,-0.3364141583442688
70.43805800,70438058,-0.3412025570869446,70438058,-0.3412025570869446
70.44066100,70440661,-0.34599095582962036,70440661,-0.34599095582962036
70.44263800,70442638,-0.34599095582962036,70442638,-0.34599095582962036
70.44525200,70445252,-0.34599095582962036,70445252,-0.34599095582962036
70.44786800,70447868,-0.34599095582962036,70447868,-0.34599095582962036
70.45046600,70450466,-0.34599095582962036,70450466,-0.34599095582962036
70.45307400,70453074,-0.34599095582962036,70453074,-0.34599095582962036
70.45567600,70455676,-0.34599095582962036,70455676,-0.34599095582962036
70.45827900,70458279,-0.34599095582962036,70458279,-0.34599095582962036
70.46088600,70460886,-0.3364141583442688,70460886,-0.3364141583442688
70.46286500,70462865,-0.3364141583442688,70462865,-0.3364141583442688
70.46547200,70465472,-0.331625759601593,70465472,-0.331625759601593
