timestamp,TimeUS,GYROx,TimeUS2,GYROx2
65.05973600,65059736,-0.005240557715296745
65.06233800,65062338,0.002216520719230175
65.06494200,65064942,-0.002044667024165392
65.06754400,65067544,-0.0009793699719011784
65.07014700,65070147,8.59266147017479e-05
65.07212400,65072124,0.002216520719230175
65.07472500,65074725,-0.0031099640764296055
65.07732600,65077326,0.002216520719230175
65.07992500,65079925,-0.0009793699719011784
65.08252800,65082528,-0.0009793699719011784
65.08512700,65085127,-0.002044667024165392
65.08772800,65087728,-0.006305854767560959
65.09033400,65090334,8.59266147017479e-05
65.09230900,,,,
65.23662500,65236625,-0.002044667024165392,65236625,-0.002044667024165392
65.23922900,65239229,8.59266147017479e-05,65239229,8.59266147017479e-05
65.24182600,65241826,-0.002044667024165392,65241826,-0.002044667024165392
65.24443200,65244432,-0.0031099640764296055,65244432,-0.0031099640764296055
65.24703400,65247034,0.0011512236669659615,65247034,0.0011512236669659615
65.24964500,65249645,8.59266147017479e-05,65249645,8.59266147017479e-05
65.25163000,65251630,-0.0009793699719011784,65251630,-0.0009793699719011784
65.25423200,65254232,-0.0009793699719011784,65254232,-0.0009793699719011784
65.25683600,65256836,0.0011512236669659615,65256836,0.0011512236669659615
65.25945000,65259450,-0.0031099640764296055,65259450,-0.0031099640764296055
65.26205100,65262051,-0.002044667024165392,65262051,-0.002044667024165392
65.26465600,65264656,-0.0031099640764296055,65264656,-0.0031099640764296055
65.26726300,65267263,0.0011512236669659615,65267263,0.0011512236669659615
65.26986800,65269868,0.0011512236669659615,65269868,0.0011512236669659615
65.27185400,65271854,8.59266147017479e-05,65271854,8.59266147017479e-05
65.27446200,65274462,-0.002044667024165392,65274462,-0.002044667024165392
65.27707100,65277071,0.002216520719230175,65277071,0.002216520719230175
65.27968700,65279687,-0.002044667024165392,65279687,-0.002044667024165392
65.28228800,65282288,-0.002044667024165392,65282288,-0.002044667024165392
65.28490200,65284902,-0.002044667024165392,65284902,-0.002044667024165392
65.28751200,65287512,-0.0031099640764296055,65287512,-0.0031099640764296055
65.29011800,65290118,-0.0031099640764296055,65290118,-0.0031099640764296055
65.29209600,65292096,0.002216520719230175,65292096,0.002216520719230175
65.29470000,65294700,-0.002044667024165392,65294700,-0.002044667024165392
65.29730200,65297302,-0.0009793699719011784,65297302,-0.0009793699719011784
65.29991100,65299911,-0.006305854767560959,65299911,-0.006305854767560959
65.30251400,65302514,-0.0009793699719011784,65302514,-0.0009793699719011784
65.30512000,65305120,-0.004175260663032532,65305120,-0.004175260663032532
65.30772900,65307729,0.0011512236669659615,65307729,0.0011512236669659615
65.31033900,65310339,-0.0031099640764296055,65310339,-0.0031099640764296055
65.31232100,65312321,0.0032818177714943886,65312321,0.0032818177714943886
65.31492700,65314927,-0.0031099640764296055,65314927,-0.0031099640764296055
65.31752600,65317526,-0.002044667024165392,65317526,-0.002044667024165392
65.32012700,65320127,0.002216520719230175,65320127,0.002216520719230175
65.32273100,65322731,8.59266147017479e-05,65322731,8.59266147017479e-05
65.32533800,65325338,-0.0009793699719011784,65325338,-0.0009793699719011784
65.32794100,65327941,8.59266147017479e-05,65327941,8.59266147017479e-05
65.33056900,65330569,8.59266147017479e-05,65330569,8.59266147017479e-05
65.33254700,65332547,-0.0031099640764296055,65332547,-0.0031099640764296055
65.33514700,65335147,-0.002044667024165392,65335147,-0.002044667024165392
65.33774900,65337749,-0.002044667024165392,65337749,-0.002044667024165392
65.34035900,65340359,8.59266147017479e-05,65340359,8.59266147017479e-05
65.34296100,65342961,-0.005240557715296745,65342961,-0.005240557715296745
65.34556600,65345566,0.002216520719230175,65345566,0.002216520719230175
65.34817100,65348171,-0.004175260663032532,65348171,-0.004175260663032532
65.35078500,65350785,-0.002044667024165392,65350785,-0.002044667024165392
65.35276800,65352768,8.59266147017479e-05,65352768,8.59266147017479e-05
65.35537200,65355372,-0.002044667024165392,65355372,-0.002044667024165392
65.35797000,65357970,-0.0009793699719011784,65357970,-0.0009793699719011784
65.36058000,65360580,-0.002044667024165392,65360580,-0.002044667024165392
65.36318300,65363183,-0.004175260663032532,65363183,-0.004175260663032532
65.36579200,65365792,-0.0009793699719011784,65365792,-0.0009793699719011784
65.36839300,65368393,-0.002044667024165392,65368393,-0.002044667024165392
65.37099900,65370999,-0.0031099640764296055,65370999,-0.0031099640764296055
65.37298000,65372980,-0.002044667024165392,65372980,-0.002044667024165392
65.37558600,65375586,0.0011512236669659615,65375586,0.0011512236669659615
65.37818600,65378186,-0.002044667024165392,65378186,-0.002044667024165392
65.38079600,65380796,0.002216520719230175,65380796,0.002216520719230175
65.38340100,65383401,-0.002044667024165392,65383401,-0.002044667024165392
65.38600300,65386003,0.002216520719230175,65386003,0.002216520719230175
65.38860600,65388606,-0.004175260663032532,65388606,-0.004175260663032532
65.39122600,65391226,-0.002044667024165392,65391226,-0.002044667024165392
65.39322100,65393221,8.59266147017479e-05,65393221,8.59266147017479e-05
65.39582200,65395822,-0.006305854767560959,65395822,-0.006305854767560959
65.39842100,65398421,-0.0009793699719011784,65398421,-0.0009793699719011784
65.40102400,65401024,0.002216520719230175,65401024,0.002216520719230175
65.40362600,65403626,-0.0031099640764296055,65403626,-0.0031099640764296055
65.40624700,65406247,-0.002044667024165392,65406247,-0.002044667024165392
65.40884600,65408846,-0.0009793699719011784,65408846,-0.0009793699719011784
65.41145000,65411450,8.59266147017479e-05,65411450,8.59266147017479e-05
65.41343700,65413437,-0.0031099640764296055,65413437,-0.0031099640764296055
65.41603900,65416039,-0.0009793699719011784,65416039,-0.0009793699719011784
