Wall time,Step,Value
1666086530.7977538,2048,-56.41304397583008
1666086650.8056316,4096,-49.36170196533203
1666086778.1517444,6144,-52.28767013549805
1666086901.7197542,8192,-53.9900016784668
1666087038.489162,10240,-53.435001373291016
1666087164.3964727,12288,-54.06999969482422
1666087283.9785082,14336,-50.82500076293945
1666087400.8122952,16384,-56.125
1666087513.6766677,18432,-58.93000030517578
1666087646.1294734,20480,-63.83000183105469
1666087757.562876,22528,-59.834999084472656
1666087876.6164882,24576,-61.38999938964844
1666087998.1898544,26624,-61.77000045776367
1666088113.2826724,28672,-62.31999969482422
1666088254.9618003,30720,-62.07500076293945
1666088372.8302097,32768,-62.56999969482422
1666088489.648426,34816,-57.95500183105469
1666088604.9300284,36864,-58.56999969482422
1666088722.605945,38912,-57.709999084472656
1666088863.647513,40960,-59.595001220703125
1666088976.229435,43008,-67.01499938964844
1666089093.8049204,45056,-64.7750015258789
1666089214.1555955,47104,-64.76499938964844
1666089331.4518318,49152,-59.244998931884766
1666089465.7950053,51200,-57.505001068115234
1666089579.1986475,53248,-56.845001220703125
1666089702.125116,55296,-56.04999923706055
1666089818.9732282,57344,-60.59000015258789
1666089936.4909623,59392,-59.44499969482422
1666090074.460895,61440,-59.54999923706055
1666090190.9725077,63488,-61.88999938964844
1666090302.615438,65536,-62.20000076293945
1666090415.9806528,67584,-63.38999938964844
1666090531.6234818,69632,-53.51499938964844
1666090667.9734378,71680,-54.185001373291016
1666090785.3904293,73728,-51.94499969482422
1666090903.0720599,75776,-44.54499816894531
1666091019.7105577,77824,-48.380001068115234
1666091132.959518,79872,-49.720001220703125
1666091265.0536592,81920,-47.290000915527344
1666091384.0368407,83968,-52.88999938964844
1666091506.8316886,86016,-57.3849983215332
1666091623.2142293,88064,-56.84000015258789
1666091753.174148,90112,-54.88999938964844
1666091863.785724,92160,-54.42499923706055
1666091983.246402,94208,-52.2599983215332
1666092106.4312615,96256,-58.21500015258789
1666092218.778063,98304,-57.540000915527344
1666092364.7811377,100352,-56.79499816894531
1666092489.2541153,102400,-51.290000915527344
1666092611.0592947,104448,-47.060001373291016
1666092732.9342377,106496,-38.7400016784668
1666092861.9444525,108544,-45.025001525878906
1666093002.4271283,110592,-44.83000183105469
1666093124.7295296,112640,-42.85499954223633
1666093247.3700666,114688,-44.39500045776367
1666093374.577295,116736,-42.369998931884766
1666093500.7257771,118784,-37.595001220703125
