timestamp,TimeUS,GYROx,TimeUS,GYROx
136.34432700,136344327,31.482101440429688,136344327,31.482101440429688
136.34438200,136344382,31.482101440429688,136344382,31.482101440429688
136.34507700,136345077,31.482101440429688,136345077,31.482101440429688
136.34510300,136345103,31.482101440429688,136345103,31.482101440429688
136.34583400,136345834,31.482101440429688,136345834,31.482101440429688
136.34586300,136345863,31.482101440429688,136345863,31.482101440429688
136.34658700,136346587,31.482101440429688,136346587,31.482101440429688
136.34661200,136346612,31.482101440429688,136346612,31.482101440429688
136.34733300,136347333,31.482101440429688,136347333,31.482101440429688
136.34736000,136347360,31.482101440429688,136347360,31.482101440429688
136.34808200,136348082,31.482101440429688,136348082,31.482101440429688
136.34815900,136348159,31.482101440429688,136348159,31.482101440429688
136.34883600,136348836,31.482101440429688,136348836,31.482101440429688
136.34886100,136348861,31.482101440429688,136348861,31.482101440429688
136.34958300,136349583,31.482101440429688,136349583,31.482101440429688
136.34961200,136349612,31.482101440429688,136349612,31.482101440429688
136.35032800,136350328,31.482101440429688,136350328,31.482101440429688
136.35035200,136350352,31.482101440429688,136350352,31.482101440429688
136.35108400,136351084,31.482101440429688,136351084,31.482101440429688
136.35110900,136351109,31.482101440429688,136351109,31.482101440429688
136.35183200,136351832,31.482101440429688,136351832,31.482101440429688
136.35185700,136351857,31.482101440429688,136351857,31.482101440429688
136.35258100,136352581,31.482101440429688,136352581,31.482101440429688
136.35261100,136352611,31.482101440429688,136352611,31.482101440429688
136.35333700,136353337,31.482101440429688,136353337,31.482101440429688
136.35336300,136353363,31.482101440429688,136353363,31.482101440429688
136.35408700,136354087,31.482101440429688,136354087,31.482101440429688
136.35411200,136354112,31.482101440429688,136354112,31.482101440429688
136.35483800,136354838,31.482101440429688,136354838,31.482101440429688
136.35486200,136354862,31.482101440429688,136354862,31.482101440429688
136.35564400,136355644,31.482101440429688,136355644,31.482101440429688
136.35567100,136355671,31.482101440429688,136355671,31.482101440429688
136.35634400,136356344,31.482101440429688,136356344,31.482101440429688
136.35636900,136356369,31.482101440429688,136356369,31.482101440429688
136.35709500,136357095,31.482101440429688,136357095,31.482101440429688
136.35712000,136357120,31.482101440429688,136357120,31.482101440429688
136.35784700,136357847,31.482101440429688,136357847,31.482101440429688
136.35787100,136357871,31.482101440429688,136357871,31.482101440429688
136.35861100,136358611,31.482101440429688,136358611,31.482101440429688
136.35864200,136358642,31.482101440429688,136358642,31.482101440429688
136.35935900,136359359,31.482101440429688,136359359,31.482101440429688
136.35938300,136359383,31.482101440429688,136359383,31.482101440429688
136.36010800,136360108,31.482101440429688,136360108,31.482101440429688
136.36013400,136360134,31.482101440429688,136360134,31.482101440429688
136.36087200,136360872,31.482101440429688,136360872,31.482101440429688
136.36089800,136360898,31.482101440429688,136360898,31.482101440429688
136.36162300,136361623,31.482101440429688,136361623,31.482101440429688
136.36165400,136361654,31.482101440429688,136361654,31.482101440429688
136.36237400,136362374,31.482101440429688,136362374,31.482101440429688
136.36239800,136362398,31.482101440429688,136362398,31.482101440429688
136.36314700,136363147,31.482101440429688,136363147,31.482101440429688
136.36317200,136363172,31.482101440429688,136363172,31.482101440429688
136.36389500,136363895,31.482101440429688,136363895,31.482101440429688
136.36392300,136363923,31.482101440429688,136363923,31.482101440429688
136.36464700,136364647,31.482101440429688,136364647,31.482101440429688
136.36467100,136364671,31.482101440429688,136364671,31.482101440429688
136.36539800,136365398,31.482101440429688,136365398,31.482101440429688
136.36542400,136365424,31.482101440429688,136365424,31.482101440429688
136.36615100,136366151,31.482101440429688,136366151,31.482101440429688
136.36617500,136366175,31.482101440429688,136366175,31.482101440429688
136.36689800,136366898,31.482101440429688,136366898,31.482101440429688
136.36692200,136366922,31.482101440429688,136366922,31.482101440429688
136.36765300,136367653,31.482101440429688,136367653,31.482101440429688
136.36767800,136367678,31.482101440429688,136367678,31.482101440429688
136.36840900,136368409,31.482101440429688,136368409,31.482101440429688
136.36843800,136368438,31.482101440429688,136368438,31.482101440429688
136.36916600,136369166,31.482101440429688,136369166,31.482101440429688
136.36919200,136369192,31.482101440429688,136369192,31.482101440429688
136.36991300,136369913,31.482101440429688,136369913,31.482101440429688
136.36993800,136369938,31.482101440429688,136369938,31.482101440429688
136.37066400,136370664,31.482101440429688,136370664,31.482101440429688
136.37068900,136370689,31.482101440429688,136370689,31.482101440429688
136.37141500,136371415,31.482101440429688,136371415,31.482101440429688
136.37144000,136371440,31.482101440429688,136371440,31.482101440429688
136.37216600,136372166,31.482101440429688,136372166,31.482101440429688
136.37219100,136372191,31.482101440429688,136372191,31.482101440429688
136.37291600,136372916,31.482101440429688,136372916,31.482101440429688
136.37294000,136372940,31.482101440429688,136372940,31.482101440429688
136.37366800,136373668,31.482101440429688,136373668,31.482101440429688
136.37369300,136373693,31.482101440429688,136373693,31.482101440429688
136.37441800,136374418,31.482101440429688,136374418,31.482101440429688
136.37444200,136374442,31.482101440429688,136374442,31.482101440429688
136.37516800,136375168,31.482101440429688,136375168,31.482101440429688
136.37519300,136375193,31.482101440429688,136375193,31.482101440429688
136.37592700,136375927,31.482101440429688,136375927,31.482101440429688
136.37595300,136375953,31.482101440429688,136375953,31.482101440429688
136.37667700,136376677,31.482101440429688,136376677,31.482101440429688
136.37670400,136376704,31.482101440429688,136376704,31.482101440429688
136.37742600,136377426,31.482101440429688,136377426,31.482101440429688
136.37745000,136377450,31.482101440429688,136377450,31.482101440429688
136.37822900,136378229,31.482101440429688,136378229,31.482101440429688
136.37826100,136378261,31.482101440429688,136378261,31.482101440429688
