timestamp,TimeUS,ACCx,TimeUS,ACCx
158.74822000,158748220,141.5260467529297,158748220,141.5260467529297
158.74824200,158748242,141.5260467529297,158748242,141.5260467529297
158.74897100,158748971,141.5260467529297,158748971,141.5260467529297
158.74899300,158748993,141.5260467529297,158748993,141.5260467529297
158.74973400,158749734,141.5260467529297,158749734,141.5260467529297
158.74975900,158749759,141.5260467529297,158749759,141.5260467529297
158.75048200,158750482,141.5260467529297,158750482,141.5260467529297
158.75050500,158750505,141.5260467529297,158750505,141.5260467529297
158.75123400,158751234,141.5260467529297,158751234,141.5260467529297
158.75125900,158751259,141.5260467529297,158751259,141.5260467529297
158.75204300,158752043,141.5260467529297,158752043,141.5260467529297
158.75207100,158752071,141.5260467529297,158752071,141.5260467529297
158.75279600,158752796,141.5260467529297,158752796,141.5260467529297
158.75281800,158752818,141.5260467529297,158752818,141.5260467529297
158.75354400,158753544,141.5260467529297,158753544,141.5260467529297
158.75356900,158753569,141.5260467529297,158753569,141.5260467529297
158.75429400,158754294,141.5260467529297,158754294,141.5260467529297
158.75431600,158754316,141.5260467529297,158754316,141.5260467529297
158.75505000,158755050,141.5260467529297,158755050,141.5260467529297
158.75507200,158755072,141.5260467529297,158755072,141.5260467529297
158.75580000,158755800,141.5260467529297,158755800,141.5260467529297
158.75582200,158755822,141.5260467529297,158755822,141.5260467529297
158.75655500,158756555,141.5260467529297,158756555,141.5260467529297
158.75657700,158756577,141.5260467529297,158756577,141.5260467529297
158.75731500,158757315,141.5260467529297,158757315,141.5260467529297
158.75733700,158757337,141.5260467529297,158757337,141.5260467529297
158.75806700,158758067,141.5260467529297,158758067,141.5260467529297
158.75809100,158758091,141.5260467529297,158758091,141.5260467529297
158.75881400,158758814,141.5260467529297,158758814,141.5260467529297
158.75883600,158758836,141.5260467529297,158758836,141.5260467529297
158.75962800,158759628,141.5260467529297,158759628,141.5260467529297
158.75965100,158759651,141.5260467529297,158759651,141.5260467529297
158.76037900,158760379,141.5260467529297,158760379,141.5260467529297
158.76040300,158760403,141.5260467529297,158760403,141.5260467529297
