timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
136.20114500,136201145,0,0.00020091627084184438,-0.0011221771128475666,0.001197747653350234,-0.19127056002616882,0.7117776274681091,-9.838125228881836,0,0,46.67399978637695,1,1,1840,1843
136.20354600,136203546,0,0.00026962501578964293,-0.0011511112097650766,0.0008705032523721457,-0.19155487418174744,0.7144748568534851,-9.837772369384766,0,0,46.67399978637695,1,1,1840,1843
136.20595200,136205952,0,0.00013848683738615364,-0.0010024496586993337,0.0007472300785593688,-0.19287893176078796,0.7149076461791992,-9.839212417602539,0,0,46.67399978637695,1,1,1840,1843
136.20854300,136208543,0,0.00010678399848984554,-0.0008421572274528444,0.0006910429219715297,-0.1941135823726654,0.7147907018661499,-9.841897010803223,0,0,46.67399978637695,1,1,1840,1843
136.21099200,136210992,0,-8.150010216922965e-06,-0.0007544871186837554,0.0006869598291814327,-0.19426541030406952,0.7135825157165527,-9.842463493347168,0,0,46.67399978637695,1,1,1840,1843
136.21370700,136213707,0,-0.00024044199381023645,-0.0008485681610181928,0.000885818968527019,-0.19183343648910522,0.7096432447433472,-9.841825485229492,0,0,46.67399978637695,1,1,1840,1843
136.21605000,136216050,0,-0.0004903129301965237,-0.0008169831125997007,0.001024136203341186,-0.19018347561359406,0.7078639268875122,-9.841836929321289,0,0,46.67399978637695,1,1,1840,1843
136.21850100,136218501,0,-0.0007048216066323221,-0.0007214963552542031,0.0012390759075060487,-0.18917027115821838,0.7084269523620605,-9.841833114624023,0,0,46.67399978637695,1,1,1840,1843
136.22104700,136221047,0,-0.0007839668542146683,-0.0006250406731851399,0.0013606768334284425,-0.18973886966705322,0.709813117980957,-9.841959953308105,0,0,46.67399978637695,1,1,1840,1843
136.22359300,136223593,0,-0.0008807126432657242,-0.0002196259010815993,0.0016412419499829412,-0.1892079859972,0.7114119529724121,-9.843350410461426,0,0,46.67399978637695,1,1,1840,1843
136.22605200,136226052,0,-0.0009008931228891015,0.0001444485824322328,0.0017294941935688257,-0.18626224994659424,0.7115775942802429,-9.843788146972656,0,0,46.67399978637695,1,1,1840,1843
136.22862700,136228627,0,-0.0007399162859655917,0.0004353090771473944,0.0016405738424509764,-0.18121877312660217,0.7120959162712097,-9.842635154724121,0,0,46.67399978637695,1,1,1840,1843
136.23105000,136231050,0,-0.0007339227013289928,0.0005847112042829394,0.0015243891393765807,-0.1803826093673706,0.7130221128463745,-9.84283447265625,0,0,46.67399978637695,1,1,1840,1843
136.23351200,136233512,0,-0.0008144949097186327,0.0008449321612715721,0.0015182852512225509,-0.1796528846025467,0.7132242918014526,-9.843366622924805,0,0,46.67399978637695,1,1,1840,1843
136.23598300,136235983,0,-0.0010454549919813871,0.0011214647674933076,0.0015192317077890038,-0.17786704003810883,0.7115177512168884,-9.84339714050293,0,0,46.67399978637695,1,1,1840,1843
136.23863800,136238638,0,-0.0012447242625057697,0.0012575039872899652,0.001431868295185268,-0.17773659527301788,0.7097401022911072,-9.842286109924316,0,0,46.67399978637695,1,1,1840,1843
136.24118700,136241187,0,-0.001211601309478283,0.0013930470449849963,0.0011699465103447437,-0.17832957208156586,0.7071020007133484,-9.84049129486084,0,0,46.67399978637695,1,1,1840,1843
136.24355000,136243550,0,-0.0010170047171413898,0.001518238801509142,0.0012062725145369768,-0.17912279069423676,0.7059226632118225,-9.84082317352295,0,0,46.67399978637695,1,1,1840,1843
136.24594200,136245942,0,-0.0005983466980978847,0.0016213130438700318,0.0011649028165265918,-0.18270182609558105,0.7046655416488647,-9.842069625854492,0,0,46.67399978637695,1,1,1840,1843
136.24853500,136248535,0,-0.0004474242450669408,0.0016062152571976185,0.0011424089316278696,-0.18602889776229858,0.7050766348838806,-9.842721939086914,0,0,46.67399978637695,1,1,1840,1843
136.25098600,136250986,0,-0.00048744314699433744,0.0017034077318385243,0.0012390069896355271,-0.19026878476142883,0.7056565880775452,-9.842228889465332,0,0,46.652000427246094,1,1,1840,1843
136.25353900,136253539,0,-0.0005759567720815539,0.0016153247561305761,0.001160828280262649,-0.19284960627555847,0.7072316408157349,-9.839713096618652,0,0,46.652000427246094,1,1,1840,1843
136.25618600,136256186,0,-0.0006001990404911339,0.0014845398254692554,0.0011126126628369093,-0.19315756857395172,0.7101712822914124,-9.838957786560059,0,0,46.652000427246094,1,1,1840,1843
136.25856100,136258561,0,-0.0005872637266293168,0.0011327124666422606,0.0010698088444769382,-0.19341042637825012,0.7138824462890625,-9.840349197387695,0,0,46.652000427246094,1,1,1840,1843
136.26104500,136261045,0,-0.000497710716444999,0.000922220351640135,0.0011384703684598207,-0.1950247883796692,0.7156137824058533,-9.841646194458008,0,0,46.652000427246094,1,1,1840,1843
136.26345600,136263456,0,-0.00027673685690388083,0.0006163502694107592,0.0011804451933130622,-0.19812360405921936,0.7207664847373962,-9.843581199645996,0,0,46.652000427246094,1,1,1840,1843
136.26603700,136266037,0,-6.41201268081204e-06,0.0003343572898302227,0.0010485058883205056,-0.1992785632610321,0.7242841124534607,-9.843263626098633,0,0,46.652000427246094,1,1,1840,1843
136.26865200,136268652,0,0.0002388662687735632,6.124969513621181e-05,0.000727054663002491,-0.19918183982372284,0.7271602749824524,-9.83961009979248,0,0,46.652000427246094,1,1,1840,1843
136.27103500,136271035,0,0.0003795758238993585,-0.0002368100977037102,0.00038541961112059653,-0.20030085742473602,0.7297430038452148,-9.835836410522461,0,0,46.652000427246094,1,1,1840,1843
