timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1683538975.60473704,98789635,-35.360630799999996,149.1650851,634.2799682617188,50.22286605834961,50.192867279052734
1683538975.60723615,98792134,-35.3606305,149.1650851,634.2799682617188,50.22289276123047,50.192893981933594
1683538975.60973501,98794633,-35.3606303,149.1650851,634.2799682617188,50.22287368774414,50.192874908447266
1683538975.61223412,98797132,-35.3606301,149.1650851,634.2799682617188,50.22285079956055,50.19285202026367
1683538975.61473322,98799631,-35.3606299,149.1650851,634.2799682617188,50.22283172607422,50.192832946777344
1683538975.61723208,98802130,-35.360629599999996,149.1650851,634.2799682617188,50.222808837890625,50.19281005859375
1683538975.61973119,98804629,-35.3606294,149.1650851,634.2799682617188,50.22283172607422,50.192832946777344
1683538975.62223005,98807128,-35.3606292,149.1650851,634.2799682617188,50.22281265258789,50.192813873291016
1683538975.62472916,98809627,-35.360628999999996,149.1650851,634.2799682617188,50.2227897644043,50.19279098510742
1683538975.62722802,98812126,-35.3606287,149.1650851,634.2799682617188,50.2227668762207,50.19276809692383
1683538975.62972713,98814625,-35.3606285,149.1650851,634.2799682617188,50.222747802734375,50.1927490234375
1683538975.63222599,98817124,-35.3606283,149.1650851,634.2799682617188,50.22280502319336,50.192806243896484
1683538975.63472509,98819623,-35.3606281,149.1650851,634.2799682617188,50.222782135009766,50.19278335571289
1683538975.63722420,98822122,-35.360627799999996,149.1650851,634.2799682617188,50.22275924682617,50.1927604675293
1683538975.63972306,98824621,-35.3606276,149.1650851,634.2799682617188,50.222740173339844,50.19274139404297
1683538975.64222217,98827120,-35.3606274,149.1650851,634.2799682617188,50.22271728515625,50.192718505859375
1683538975.64472103,98829619,-35.360627199999996,149.1650851,634.2799682617188,50.22277069091797,50.192771911621094
1683538975.64722013,98832118,-35.3606269,149.1650851,634.2799682617188,50.22275161743164,50.192752838134766
1683538975.64971900,98834617,-35.3606267,149.1650851,634.2799682617188,50.22272872924805,50.19272994995117
1683538975.65221810,98837116,-35.360626499999995,149.1650851,634.2799682617188,50.22270584106445,50.19270706176758
1683538975.65471721,98839615,-35.3606263,149.1650851,634.2799682617188,50.222686767578125,50.19268798828125
1683538975.65721607,98842114,-35.360625999999996,149.1650851,634.2799682617188,50.22273635864258,50.1927375793457
1683538975.65971518,98844613,-35.3606258,149.1650851,634.2799682617188,50.222713470458984,50.19271469116211
1683538975.66221404,98847112,-35.3606256,149.1650851,634.2799682617188,50.22269058227539,50.192691802978516
1683538975.66471314,98849611,-35.360625399999996,149.1650851,634.2799682617188,50.22267150878906,50.19267272949219
1683538975.66721201,98852110,-35.3606252,149.1650851,634.2799682617188,50.22264862060547,50.192649841308594
1683538975.66971111,98854609,-35.3606249,149.1650851,634.2799682617188,50.222694396972656,50.19269561767578
1683538975.67221022,98857108,-35.360624699999995,149.1650851,634.2799682617188,50.22267150878906,50.19267272949219
1683538975.67470908,98859607,-35.3606245,149.1650851,634.2799682617188,50.222652435302734,50.19265365600586
1683538975.67720819,98862106,-35.3606243,149.1650851,634.2799682617188,50.22262954711914,50.192630767822266
1683538975.67970705,98864605,-35.360624,149.1650851,634.2799682617188,50.22261047363281,50.19261169433594
1683538975.68220615,98867104,-35.3606238,149.1650851,634.2799682617188,50.222652435302734,50.19265365600586
1683538975.68470502,98869603,-35.3606236,149.1650851,634.2799682617188,50.22262954711914,50.192630767822266
1683538975.68720412,98872102,-35.3606234,149.1650851,634.2799682617188,50.22260665893555,50.19260787963867
1683538975.68970299,98874601,-35.3606231,149.1650851,634.2799682617188,50.22258758544922,50.192588806152344
1683538975.69220209,98877100,-35.360622899999996,149.1650851,634.2799682617188,50.222564697265625,50.19256591796875
1683538975.69470119,98879599,-35.3606227,149.1650851,634.2799682617188,50.22260284423828,50.192604064941406
1683538975.69720006,98882098,-35.3606225,149.1650851,634.2799682617188,50.22258377075195,50.19258499145508
1683538975.69969916,98884597,-35.3606222,149.1650851,634.2799682617188,50.22256088256836,50.192562103271484
1683538975.70219803,98887096,-35.360622,149.1650851,634.2799682617188,50.22254180908203,50.192543029785156
1683538975.70469713,98889595,-35.3606218,149.1650851,634.2799682617188,50.22251892089844,50.19252014160156
1683538975.70719600,98892094,-35.3606216,149.1650851,634.2799682617188,50.22255325317383,50.19255447387695
1683538975.70969510,98894593,-35.3606213,149.1650851,634.2799682617188,50.2225341796875,50.192535400390625
