timestamp,TimeUS,Ground_Truth
124.69398300,124693983,2
124.69447600,124694476,2
124.69500000,124695000,2
124.69550200,124695502,2
124.69600100,124696001,2
124.69650000,124696500,2
124.69700800,124697008,2
124.69750000,124697500,2
124.69800500,124698005,2
124.69850700,124698507,2
124.69900000,124699000,2
124.69950000,124699500,2
124.70002600,124700026,2
124.70053600,124700536,2
124.70102700,124701027,2
124.70152500,124701525,2
124.70202600,124702026,2
124.70252600,124702526,2
124.70303900,124703039,2
124.70352600,124703526,2
124.70402600,124704026,2
124.70452500,124704525,2
124.70505700,124705057,2
124.70555300,124705553,2
124.70605200,124706052,2
124.70655200,124706552,2
124.70705200,124707052,2
124.70755200,124707552,2
124.70805200,124708052,2
124.70855100,124708551,2
124.70905300,124709053,2
124.70955200,124709552,2
124.71007600,124710076,2
124.71057900,124710579,2
124.71107800,124711078,2
124.71157700,124711577,2
124.71207700,124712077,2
124.71257700,124712577,2
124.71307900,124713079,2
124.71357800,124713578,2
124.71407700,124714077,2
124.71457800,124714578,2
124.71513100,124715131,2
124.71563500,124715635,2
124.71613400,124716134,2
124.71665900,124716659,2
124.71713200,124717132,2
124.71766100,124717661,2
124.71813800,124718138,2
124.71863500,124718635,2
124.71913200,124719132,2
124.71963900,124719639,2
124.72030600,124720306,2
124.72074000,124720740,2
124.72123800,124721238,2
124.72173200,124721732,2
124.72224100,124722241,2
124.72276200,124722762,2
124.72323400,124723234,2
124.72373400,124723734,2
124.72432400,124724324,2
124.72474000,124724740,2
124.72527300,124725273,2
124.72576700,124725767,2
124.72627500,124726275,2
124.72676600,124726766,2
124.72726600,124727266,2
124.72776600,124727766,2
124.72830400,124728304,2
124.72876600,124728766,2
124.72926600,124729266,2
124.72976500,124729765,2
124.73029500,124730295,2
124.73079000,124730790,2
124.73128800,124731288,2
124.73178900,124731789,2
124.73228900,124732289,2
124.73280500,124732805,2
124.73329000,124733290,2
124.73378800,124733788,2
124.73428800,124734288,2
124.73478800,124734788,2
124.73531400,124735314,2
124.73581200,124735812,2
124.73631100,124736311,2
124.73681100,124736811,2
124.73731100,124737311,2
124.73781300,124737813,2
124.73831300,124738313,2
124.73881200,124738812,2
124.73931200,124739312,2
124.73981400,124739814,2
124.74031200,124740312,2
124.74084100,124740841,2
124.74134600,124741346,2
124.74184000,124741840,2
124.74235000,124742350,2
124.74283900,124742839,2
124.74334200,124743342,2
124.74384100,124743841,2
124.74434000,124744340,2
124.74484300,124744843,2
124.74534700,124745347,2
124.74587500,124745875,2
124.74637400,124746374,2
124.74687400,124746874,2
124.74737300,124747373,2
124.74787600,124747876,2
124.74838200,124748382,2
124.74887400,124748874,2
124.74938300,124749383,2
124.74987300,124749873,2
124.75037400,124750374,2
124.75090400,124750904,2
124.75140600,124751406,2
124.75190200,124751902,2
124.75240100,124752401,2
124.75290300,124752903,2
124.75340100,124753401,2
124.75390100,124753901,2
124.75440200,124754402,2
124.75490200,124754902,2
124.75540400,124755404,2
124.75593000,124755930,2
124.75642700,124756427,2
124.75693600,124756936,2
124.75742700,124757427,2
124.75792800,124757928,2
124.75842800,124758428,2
124.75892800,124758928,2
124.75942900,124759429,2
124.75992700,124759927,2
124.76043400,124760434,2
124.76095900,124760959,2
124.76145800,124761458,2
124.76195800,124761958,2
124.76245700,124762457,2
124.76295800,124762958,2
124.76346000,124763460,2
124.76395800,124763958,2
124.76445700,124764457,2
124.76495800,124764958,2
124.76545900,124765459,2
124.76598400,124765984,2
124.76648400,124766484,2
124.76698300,124766983,2
124.76748200,124767482,2
124.76798200,124767982,2
124.76848400,124768484,2
124.76898300,124768983,2
124.76948200,124769482,2
124.76998300,124769983,2
124.77048300,124770483,2
124.77100700,124771007,2
124.77150600,124771506,2
124.77200600,124772006,2
124.77250600,124772506,2
124.77300500,124773005,2
124.77350600,124773506,2
124.77400700,124774007,2
124.77450600,124774506,2
124.77500600,124775006,2
124.77550600,124775506,2
124.77603400,124776034,2
124.77653200,124776532,2
124.77703300,124777033,2
124.77753500,124777535,2
124.77803400,124778034,2
124.77853300,124778533,2
124.77903400,124779034,2
124.77953500,124779535,2
124.78003200,124780032,2
124.78053400,124780534,2
124.78106000,124781060,2
124.78156000,124781560,2
124.78205800,124782058,2
124.78255900,124782559,2
124.78305900,124783059,2
124.78356000,124783560,2
124.78405800,124784058,2
124.78455900,124784559,2
124.78505900,124785059,2
124.78556000,124785560,2
124.78608500,124786085,2
124.78658300,124786583,2
124.78708300,124787083,2
124.78758800,124787588,2
124.78808300,124788083,2
124.78858500,124788585,2
124.78908400,124789084,2
124.78958300,124789583,2
124.79008600,124790086,2
124.79058400,124790584,2
124.79124100,124791241,2
124.79173500,124791735,2
124.79223100,124792231,2
124.79276600,124792766,2
124.79324000,124793240,2
124.79373500,124793735,2
124.79432100,124794321,2
124.79473900,124794739,2
124.79523600,124795236,2
124.79573300,124795733,2
124.79626400,124796264,2
124.79675600,124796756,2
124.79725500,124797255,2
124.79775600,124797756,2
124.79830000,124798300,2
124.79875600,124798756,2
124.79925500,124799255,2
124.79975600,124799756,2
124.80025600,124800256,2
124.80075500,124800755,2
124.80128000,124801280,2
124.80177800,124801778,2
124.80227900,124802279,2
124.80278000,124802780,2
124.80329100,124803291,2
124.80378000,124803780,2
124.80427900,124804279,2
124.80477800,124804778,2
124.80527800,124805278,2
124.80577800,124805778,2
124.80630400,124806304,2
124.80680300,124806803,2
124.80730200,124807302,2
124.80780300,124807803,2
124.80830200,124808302,2
124.80880200,124808802,2
124.80930300,124809303,2
124.80980500,124809805,2
124.81030300,124810303,2
124.81080300,124810803,2
124.81133100,124811331,2
124.81182900,124811829,2
124.81232800,124812328,2
124.81282900,124812829,2
124.81332900,124813329,2
124.81382900,124813829,2
124.81433000,124814330,2
124.81482800,124814828,2
124.81533500,124815335,2
124.81582900,124815829,2
124.81635400,124816354,2
124.81685300,124816853,2
124.81735200,124817352,2
124.81785900,124817859,2
124.81835100,124818351,2
124.81885600,124818856,2
124.81935200,124819352,2
124.81985200,124819852,2
124.82035100,124820351,2
124.82085100,124820851,2
124.82137800,124821378,2
124.82187600,124821876,2
124.82237400,124822374,2
124.82287400,124822874,2
124.82337700,124823377,2
124.82387700,124823877,2
124.82437700,124824377,2
124.82487400,124824874,2
124.82537700,124825377,2
124.82587500,124825875,2
124.82640000,124826400,2
124.82690000,124826900,2
124.82739900,124827399,2
124.82789900,124827899,2
124.82840700,124828407,2
124.82889800,124828898,2
124.82940100,124829401,2
124.82989800,124829898,2
124.83040100,124830401,2
124.83090600,124830906,2
124.83143100,124831431,2
124.83193100,124831931,2
124.83243000,124832430,2
124.83293000,124832930,2
124.83343000,124833430,2
124.83393200,124833932,2
124.83443200,124834432,2
124.83493100,124834931,2
124.83543100,124835431,2
124.83593000,124835930,2
124.83645300,124836453,2
124.83695300,124836953,2
124.83745200,124837452,2
124.83795600,124837956,2
124.83845300,124838453,2
124.83895600,124838956,2
124.83945400,124839454,2
124.83995200,124839952,2
124.84045200,124840452,2
124.84095300,124840953,2
124.84145400,124841454,2
124.84198300,124841983,2
124.84248000,124842480,2
124.84297800,124842978,2
124.84347800,124843478,2
124.84397900,124843979,2
124.84447900,124844479,2
124.84497900,124844979,2
124.84547800,124845478,2
124.84597900,124845979,2
124.84648000,124846480,2
124.84700600,124847006,2
124.84750500,124847505,2
124.84800400,124848004,2
124.84850800,124848508,2
124.84900600,124849006,2
124.84950500,124849505,2
124.85000500,124850005,2
124.85050500,124850505,2
124.85100600,124851006,2
124.85151100,124851511,2
124.85203600,124852036,2
124.85253400,124852534,2
124.85303500,124853035,2
124.85353500,124853535,2
124.85403600,124854036,2
124.85453500,124854535,2
124.85503400,124855034,2
124.85553500,124855535,2
124.85603400,124856034,2
124.85653600,124856536,2
124.85706100,124857061,2
124.85756000,124857560,2
124.85806200,124858062,2
124.85856000,124858560,2
124.85906000,124859060,2
124.85956000,124859560,2
124.86006100,124860061,2
124.86056200,124860562,2
124.86106100,124861061,2
124.86156800,124861568,2
124.86209300,124862093,2
124.86259500,124862595,2
124.86309200,124863092,2
124.86359100,124863591,2
124.86416000,124864160,2
124.86459300,124864593,2
124.86509200,124865092,2
124.86559100,124865591,2
124.86609100,124866091,2
124.86659100,124866591,2
124.86724000,124867240,2
124.86776500,124867765,2
124.86826100,124868261,2
124.86873300,124868733,2
124.86916100,124869161,2
124.86974100,124869741,2
124.87023300,124870233,2
124.87073100,124870731,2
124.87123400,124871234,2
124.87177100,124871771,2
124.87230800,124872308,2
124.87279500,124872795,2
124.87329600,124873296,2
124.87379600,124873796,2
124.87429600,124874296,2
124.87479600,124874796,2
124.87529600,124875296,2
124.87579700,124875797,2
124.87629600,124876296,2
124.87679600,124876796,2
124.87732000,124877320,2
124.87781900,124877819,2
124.87831900,124878319,2
124.87881900,124878819,2
124.87931800,124879318,2
124.87982000,124879820,2
124.88032000,124880320,2
124.88082000,124880820,2
124.88131800,124881318,2
124.88181800,124881818,2
124.88235600,124882356,2
124.88284300,124882843,2
124.88334200,124883342,2
124.88384200,124883842,2
124.88434100,124884341,2
124.88484200,124884842,2
124.88534500,124885345,2
124.88584100,124885841,2
