timestamp,TimeUS,ACCx
timestamp,TimeUS,ACCx,TimeUS,ACCx
124.58076100,124580761,-0.5361295938491821,124580761,-0.5361295938491821
124.58465500,124584655,-0.5361295938491821,124584655,-0.5361295938491821
124.58815600,124588156,-0.45953965187072754,124588156,-0.45953965187072754
124.59215400,124592154,-0.5361295938491821,124592154,-0.5361295938491821
124.59615300,124596153,-0.45953965187072754,124596153,-0.45953965187072754
124.60015100,124600151,-0.45953965187072754,124600151,-0.45953965187072754
124.60415100,124604151,-0.5361295938491821,124604151,-0.5361295938491821
124.60767800,124607678,-0.5361295938491821,124607678,-0.5361295938491821
124.61165800,124611658,-0.45953965187072754,124611658,-0.45953965187072754
124.61565100,124615651,-0.5361295938491821,124615651,-0.5361295938491821
124.61965600,124619656,-0.45953965187072754,124619656,-0.45953965187072754
124.62315800,124623158,-0.5361295938491821,124623158,-0.5361295938491821
124.62716200,124627162,-0.5361295938491821,124627162,-0.5361295938491821
124.63117900,124631179,-0.45953965187072754,124631179,-0.45953965187072754
124.63471900,124634719,-0.45953965187072754,124634719,-0.45953965187072754
124.63871600,124638716,-0.45953965187072754,124638716,-0.45953965187072754
124.64277200,124642772,-0.45953965187072754,124642772,-0.45953965187072754
124.64676300,124646763,-0.45953965187072754,124646763,-0.45953965187072754
124.65065100,124650651,-0.5361295938491821,124650651,-0.5361295938491821
124.65415100,124654151,-0.5361295938491821,124654151,-0.5361295938491821
124.65815300,124658153,-0.45953965187072754,124658153,-0.45953965187072754
124.66215300,124662153,-0.5361295938491821,124662153,-0.5361295938491821
124.66615000,124666150,-0.5361295938491821,124666150,-0.5361295938491821
124.66965700,124669657,-0.5361295938491821,124669657,-0.5361295938491821
124.67365900,124673659,-0.5361295938491821,124673659,-0.5361295938491821
124.67768700,124677687,-0.45953965187072754,124677687,-0.45953965187072754
124.68165400,124681654,-0.45953965187072754,124681654,-0.45953965187072754
124.68565600,124685656,-0.5361295938491821,124685656,-0.5361295938491821
124.68915400,124689154,-0.5361295938491821,124689154,-0.5361295938491821
124.69315100,124693151,-0.5361295938491821,124693151,-0.5361295938491821
124.69718700,124697187,-0.5361295938491821,124697187,-0.5361295938491821
124.70071800,124700718,-0.5361295938491821,124700718,-0.5361295938491821
124.70476600,124704766,-0.45953965187072754,124704766,-0.45953965187072754
124.70872600,124708726,-0.5361295938491821,124708726,-0.5361295938491821
124.71277900,124712779,-0.45953965187072754,124712779,-0.45953965187072754
124.71665200,124716652,-0.45953965187072754,124716652,-0.45953965187072754
124.72015800,124720158,-0.5361295938491821,124720158,-0.5361295938491821
124.72415500,124724155,-0.5361295938491821,124724155,-0.5361295938491821
124.72815200,124728152,-0.45953965187072754,124728152,-0.45953965187072754
124.73215100,124732151,-0.5361295938491821,124732151,-0.5361295938491821
124.73566000,124735660,-0.5361295938491821,124735660,-0.5361295938491821
124.73965400,124739654,-0.5361295938491821,124739654,-0.5361295938491821
124.74365100,124743651,-0.45953965187072754,124743651,-0.45953965187072754
124.74768000,124747680,-0.45953965187072754,124747680,-0.45953965187072754
124.75115700,124751157,-0.5361295938491821,124751157,-0.5361295938491821
124.75515200,124755152,-0.5361295938491821,124755152,-0.5361295938491821
124.75915200,124759152,-0.5361295938491821,124759152,-0.5361295938491821
124.76315900,124763159,-0.45953965187072754,124763159,-0.45953965187072754
124.76666000,124766660,-0.5361295938491821,124766660,-0.5361295938491821
124.77075300,124770753,-0.45953965187072754,124770753,-0.45953965187072754
124.77467900,124774679,-0.45953965187072754,124774679,-0.45953965187072754
124.77870800,124778708,-0.45953965187072754,124778708,-0.45953965187072754
124.78222900,124782229,-0.45953965187072754,124782229,-0.45953965187072754
124.78626700,124786267,-0.45953965187072754,124786267,-0.45953965187072754
124.79026700,124790267,-0.45953965187072754,124790267,-0.45953965187072754
124.79415000,124794150,-0.5361295938491821,124794150,-0.5361295938491821
124.79817900,124798179,-0.45953965187072754,124798179,-0.45953965187072754
124.80165500,124801655,-0.45953965187072754,124801655,-0.45953965187072754
124.80565600,124805656,-0.45953965187072754,124805656,-0.45953965187072754
124.80965200,124809652,-0.5361295938491821,124809652,-0.5361295938491821
124.81366400,124813664,-0.5361295938491821,124813664,-0.5361295938491821
124.81715500,124817155,-0.5361295938491821,124817155,-0.5361295938491821
124.82122000,124821220,-0.5361295938491821,124821220,-0.5361295938491821
124.82515000,124825150,-0.5361295938491821,124825150,-0.5361295938491821
124.82915200,124829152,-0.45953965187072754,124829152,-0.45953965187072754
124.83265300,124832653,-0.45953965187072754,124832653,-0.45953965187072754
124.83666100,124836661,-0.5361295938491821,124836661,-0.5361295938491821
124.84066100,124840661,-0.45953965187072754,124840661,-0.45953965187072754
124.84465800,124844658,-0.5361295938491821,124844658,-0.5361295938491821
124.84820200,124848202,-0.45953965187072754,124848202,-0.45953965187072754
124.85221300,124852213,-0.5361295938491821,124852213,-0.5361295938491821
124.85620600,124856206,-0.5361295938491821,124856206,-0.5361295938491821
124.86023200,124860232,-0.45953965187072754,124860232,-0.45953965187072754
124.86376600,124863766,-0.45953965187072754,124863766,-0.45953965187072754
124.86765500,124867655,-0.5361295938491821,124867655,-0.5361295938491821
124.87165100,124871651,-0.45953965187072754,124871651,-0.45953965187072754
124.87564900,124875649,-0.45953965187072754,124875649,-0.45953965187072754
124.87965100,124879651,-0.45953965187072754,124879651,-0.45953965187072754
124.88317900,124883179,-0.45953965187072754,124883179,-0.45953965187072754
124.88715300,124887153,-0.5361295938491821,124887153,-0.5361295938491821
124.89115800,124891158,-0.5361295938491821,124891158,-0.5361295938491821
