timestamp,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
124.50795000,124507950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.51043500,124510435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.51282500,124512825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.51543900,124515439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.51843100,124518431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.52265200,124522652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.52515000,124525150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.52791500,124527915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.53026600,124530266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.53276700,124532767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.53522600,124535226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.53841300,124538413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.54277500,124542775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.54524500,124545245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.54756400,124547564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.55027400,124550274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.55288900,124552889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.55531800,124555318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.55782700,124557827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.56031000,124560310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.56267900,124562679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.56528800,124565288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.56783200,124567832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.57031700,124570317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.57360900,124573609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.57637500,124576375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.57866700,124578667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.58286000,124582860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.58430400,124584304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.58809000,124588090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.58965700,124589657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.59327000,124593270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.59453700,124594537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.59826400,124598264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.59971500,124599715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.60309000,124603090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.60476700,124604767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.60828600,124608286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.60953300,124609533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.61329700,124613297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.61476000,124614760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.61808900,124618089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.61974300,124619743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.62330000,124623300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.62455700,124624557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.62825100,124628251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.62975000,124629750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.63312100,124633121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.63481900,124634819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.63837700,124638377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.63964400,124639644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.64337200,124643372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.64484000,124644840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.64820500,124648205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.64977500,124649775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.65330900,124653309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.65477400,124654774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.65882000,124658820,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.66030000,124660300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.66305800,124663058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.66533200,124665332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.66824500,124668245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.67017500,124670175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.67433600,124674336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.67608000,124676080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.67817200,124678172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.68120500,124681205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.68331300,124683313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.68572000,124685720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.68833600,124688336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.69084600,124690846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.69357900,124693579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.69583800,124695838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.69835200,124698352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.70065600,124700656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.70334700,124703347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.70584000,124705840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.70917600,124709176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.71083800,124710838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.71345300,124713453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.71567500,124715675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.71835400,124718354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.72085900,124720859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.72458400,124724584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.72605600,124726056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.72884500,124728845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.73064800,124730648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.73337500,124733375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.73587400,124735874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.73818000,124738180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.74103100,124741031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.74425000,124744250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.74583700,124745837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.74833200,124748332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.75118500,124751185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.75319500,124753195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.75616300,124756163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.75976800,124759768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.76102600,124761026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.76386800,124763868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.76624300,124766243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.76857500,124768575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.77130200,124771302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.77384300,124773843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.77607600,124776076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.77960000,124779600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.78151300,124781513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.78354600,124783546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.78638000,124786380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.78901100,124789011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.79137200,124791372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.79480400,124794804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.79643700,124796437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.79868200,124798682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.80142200,124801422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.80390900,124803909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.80638100,124806381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.81023700,124810237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.81170800,124811708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.81417100,124814171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.81676800,124816768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.81921900,124819219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.82156200,124821562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.82423700,124824237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.82672200,124826722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.82964700,124829647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.83169600,124831696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.83424700,124834247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.83654600,124836546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.83921700,124839217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.84224500,124842245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.84516600,124845166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124.84719900,124847199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
