timestamp,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
124.50517200,124505172,1,-6.597248077392578,6.599724292755127,-6.596115589141846,-0.4953553378582001,-0.14801418781280518,-10.00109577178955,0,0,44.0,0,1,272,286
124.50798800,124507988,1,-6.026371955871582,6.028722763061523,-6.02512264251709,-0.49499818682670593,-0.148448184132576,-10.003738403320312,0,0,44.0,1,1,272,286
124.51048900,124510489,1,-6.026371955871582,6.028722763061523,-6.02512264251709,-0.49499818682670593,-0.148448184132576,-10.003738403320312,0,0,44.0,0,0,272,286
124.51285000,124512850,1,-4.720511436462402,4.722585678100586,-4.719468593597412,-0.4946097433567047,-0.14886315166950226,-10.006196022033691,0,0,44.0,1,1,272,286
124.51546800,124515468,1,-4.720511436462402,4.722585678100586,-4.719468593597412,-0.49433884024620056,-0.14925912022590637,-10.008329391479492,0,0,44.0,0,1,272,286
124.51846300,124518463,1,-3.164546012878418,3.166351556777954,-3.164055109024048,-0.49433884024620056,-0.14925912022590637,-10.008329391479492,0,0,44.0,1,0,272,286
124.52267900,124522679,1,-1.7444181442260742,1.7460432052612305,-1.7446993589401245,-0.4941765367984772,-0.14963625371456146,-10.010086059570312,0,0,44.0,1,1,272,286
124.52517900,124525179,1,-1.7444181442260742,1.7460432052612305,-1.7446993589401245,-0.49396947026252747,-0.14999468624591827,-10.011490821838379,0,0,44.0,0,1,272,286
124.52794000,124527940,1,-0.6673824191093445,0.6689013838768005,-0.6685128808021545,-0.4936498701572418,-0.1503346860408783,-10.012569427490234,0,0,44.0,1,1,272,286
124.53029300,124530293,1,-0.6673824191093445,0.6689013838768005,-0.6685128808021545,-0.4936498701572418,-0.1503346860408783,-10.012569427490234,0,0,44.0,0,0,272,286
124.53279200,124532792,1,0.020277315750718117,-0.018808629363775253,0.018307456746697426,-0.4932284951210022,-0.15065650641918182,-10.013272285461426,0,0,44.0,1,1,272,286
124.53525500,124535255,1,0.020277315750718117,-0.018808629363775253,0.018307456746697426,-0.4927156865596771,-0.15096047520637512,-10.013556480407715,0,0,44.0,0,1,272,286
124.53843800,124538438,1,0.3738340437412262,-0.3723364770412445,0.3710783123970032,-0.4927156865596771,-0.15096047520637512,-10.013556480407715,0,0,44.0,1,0,272,286
124.54280000,124542800,1,0.4899100363254547,-0.4882626533508301,0.48652052879333496,-0.4914538860321045,-0.1515164077281952,-10.013571739196777,0,0,44.0,1,1,272,286
124.54527000,124545270,1,0.4899100363254547,-0.4882626533508301,0.48652052879333496,-0.4914538860321045,-0.1515164077281952,-10.013571739196777,0,0,44.0,0,0,272,286
124.54758900,124547589,1,0.4646589756011963,-0.462822288274765,0.4609835743904114,-0.49072280526161194,-0.15176922082901,-10.013400077819824,0,0,44.0,1,1,272,286
124.55029800,124550298,1,0.4646589756011963,-0.462822288274765,0.4609835743904114,-0.49072280526161194,-0.15176922082901,-10.013400077819824,0,0,44.0,0,0,272,286
124.55291400,124552914,1,0.3732515871524811,-0.37131890654563904,0.3697274327278137,-0.48993608355522156,-0.1520058810710907,-10.013101577758789,0,0,44.0,1,1,272,286
124.55534600,124555346,1,0.3732515871524811,-0.37131890654563904,0.3697274327278137,-0.4891737103462219,-0.15222683548927307,-10.012760162353516,0,0,44.0,0,1,272,286
124.55785100,124557851,1,0.2650356888771057,-0.2631130516529083,0.2619515061378479,-0.48858124017715454,-0.15243259072303772,-10.012307167053223,0,0,44.0,1,1,272,286
124.56033500,124560335,1,0.2650356888771057,-0.2631130516529083,0.2619515061378479,-0.48858124017715454,-0.15243259072303772,-10.012307167053223,0,0,44.0,0,0,272,286
