timestamp,TimeUS,ACCx
153.17463900,153174639,-0.10534487664699554
153.25567400,153255674,-0.10055647045373917
153.33620000,153336200,-0.11013327538967133
153.41722700,153417227,-0.1149216815829277
153.49825800,153498258,-0.11971008777618408
153.57896500,153578965,-0.10534487664699554
153.66000300,153660003,-0.11013327538967133
153.74103000,153741030,-0.11013327538967133
153.82206000,153822060,-0.11971008777618408
153.90259700,153902597,-0.11971008777618408
153.98362700,153983627,-0.1149216815829277
154.06465500,154064655,-0.10534487664699554
154.14568800,154145688,-0.1149216815829277
154.22621500,154226215,-0.11971008777618408
154.30724500,154307245,-0.11013327538967133
154.38827800,154388278,-0.1149216815829277
154.46896300,154468963,-0.10534487664699554
154.55001200,154550012,-0.10055647045373917
154.63104000,154631040,-0.11013327538967133
154.71206700,154712067,-0.1149216815829277
154.79260300,154792603,-0.11971008777618408
154.87363700,154873637,-0.10534487664699554
154.95466800,154954668,-0.1149216815829277
155.03570100,155035701,-0.11013327538967133
155.11622800,155116228,-0.1149216815829277
155.19725900,155197259,-0.11013327538967133
155.27848200,155278482,-0.10534487664699554
155.35901100,155359011,-0.11971008777618408
155.44004600,155440046,-0.1149216815829277
155.52107300,155521073,-0.1149216815829277
155.60210200,155602102,-0.11971008777618408
155.68265200,155682652,-0.10534487664699554
155.76368000,155763680,-0.11013327538967133
155.84470700,155844707,-0.11013327538967133
155.92573900,155925739,-0.11013327538967133
156.00626800,156006268,-0.1149216815829277
156.08754900,156087549,-0.1149216815829277
156.16808000,156168080,-0.1149216815829277
156.24910700,156249107,-0.1149216815829277
156.33016400,156330164,-0.11013327538967133
156.41070100,156410701,-0.10055647045373917
156.49172800,156491728,-0.1149216815829277
156.57276100,156572761,-0.10534487664699554
156.65347000,156653470,-0.1149216815829277
156.73450300,156734503,-0.11013327538967133
156.81553300,156815533,-0.11013327538967133
156.89656100,156896561,-0.1149216815829277
156.90859400,156908594,-0.10534487664699554
156.90911800,156909118,-0.10534487664699554
156.90964900,156909649,-0.1149216815829277
156.91018200,156910182,-0.11971008777618408
156.91071500,156910715,-0.11971008777618408
156.91124200,156911242,-0.1149216815829277
156.91177100,156911771,-0.11971008777618408
156.91250400,156912504,-0.11971008777618408
156.91252500,156912525,-0.11971008777618408
156.91308300,156913083,-0.11971008777618408
156.91361100,156913611,-0.1149216815829277
156.91414200,156914142,-0.11013327538967133
156.91466800,156914668,-0.10534487664699554
156.91520500,156915205,-0.10055647045373917
156.91574000,156915740,-0.10534487664699554
156.91626400,156916264,-0.10534487664699554
156.91696000,156916960,-0.10055647045373917
156.91698000,156916980,-0.09576806426048279
156.91746900,156917469,-0.090979665517807
156.91801000,156918010,-0.09576806426048279
156.91853900,156918539,-0.10534487664699554
156.91907700,156919077,-0.11013327538967133
156.91960600,156919606,-0.11013327538967133
156.92015800,156920158,-0.11013327538967133
156.92068600,156920686,-0.10534487664699554
156.92121600,156921216,-0.10534487664699554
156.92174300,156921743,-0.11013327538967133
156.92227600,156922276,-0.11013327538967133
156.92300800,156923008,-0.11013327538967133
156.92303000,156923030,-0.11013327538967133
156.92349200,156923492,-0.10534487664699554
156.92407300,156924073,-0.10534487664699554
156.92459700,156924597,-0.11013327538967133
156.92515100,156925151,-0.11013327538967133
156.92568100,156925681,-0.11013327538967133
156.92620400,156926204,-0.1149216815829277
156.92673500,156926735,-0.1149216815829277
156.92726500,156927265,-0.1149216815829277
156.92796500,156927965,-0.1149216815829277
156.92859100,156928591,-0.11013327538967133
156.92861100,156928611,-0.11013327538967133
156.92909400,156929094,-0.11013327538967133
156.92962100,156929621,-0.1149216815829277
156.93017300,156930173,-0.1149216815829277
156.93070400,156930704,-0.11013327538967133
156.93123000,156931230,-0.11013327538967133
156.93176100,156931761,-0.11013327538967133
156.93244200,156932442,-0.1149216815829277
156.93297500,156932975,-0.11971008777618408
156.93350400,156933504,-0.12449848651885986
156.93405800,156934058,-0.12449848651885986
156.93461200,156934612,-0.11971008777618408
156.93463200,156934632,-0.1149216815829277
156.93513700,156935137,-0.1149216815829277
156.93565700,156935657,-0.11013327538967133
156.93618200,156936182,-0.11013327538967133
156.93672700,156936727,-0.11013327538967133
156.93725300,156937253,-0.11013327538967133
156.93786700,156937867,-0.1149216815829277
156.93846300,156938463,-0.12449848651885986
156.93899100,156938991,-0.12449848651885986
156.93952200,156939522,-0.11971008777618408
156.94008000,156940080,-0.1149216815829277
156.94059800,156940598,-0.1149216815829277
156.94112700,156941127,-0.11971008777618408
156.94165600,156941656,-0.12449848651885986
156.94221200,156942212,-0.11971008777618408
156.94223200,156942232,-0.11013327538967133
156.94272300,156942723,-0.10055647045373917
156.94325200,156943252,-0.10534487664699554
156.94381500,156943815,-0.1149216815829277
156.94447600,156944476,-0.1149216815829277
156.94501500,156945015,-0.11013327538967133
156.94557200,156945572,-0.10534487664699554
156.94610300,156946103,-0.10534487664699554
156.94663000,156946630,-0.10534487664699554
156.94716000,156947160,-0.10534487664699554
156.94769500,156947695,-0.11013327538967133
156.94826000,156948260,-0.1149216815829277
156.94828300,156948283,-0.1149216815829277
156.94876400,156948764,-0.11013327538967133
156.94943700,156949437,-0.10534487664699554
156.94997100,156949971,-0.10534487664699554
156.95050600,156950506,-0.1149216815829277
156.95103100,156951031,-0.11971008777618408
156.95155800,156951558,-0.11013327538967133
156.95208600,156952086,-0.10534487664699554
156.95264100,156952641,-0.10055647045373917
156.95317000,156953170,-0.10534487664699554
156.95369900,156953699,-0.11013327538967133
156.95422900,156954229,-0.11013327538967133
156.95475700,156954757,-0.10534487664699554
