timestamp,TimeUS,ACCx,TimeUS,ACCx,ACCy,ACCz
73.04109400,73041094,-0.7658994197845459,73041094,-0.7658994197845459,0.22976982593536377,-9.880102157592773
73.04156000,73041560,-0.6127195358276367,73041560,-0.6127195358276367,0.22976982593536377,-9.880102157592773
73.04206600,73042066,-0.6893094778060913,73042066,-0.6893094778060913,0.07658994197845459,-9.880102157592773
73.04262100,73042621,-0.6893094778060913,73042621,-0.6893094778060913,0.07658994197845459,-9.880102157592773
73.04307200,73043072,-0.6893094778060913,73043072,-0.6893094778060913,0.22976982593536377,-9.803512573242188
73.04356300,73043563,-0.6893094778060913,73043563,-0.6893094778060913,0.22976982593536377,-9.6503324508667
73.04406700,73044067,-0.6893094778060913,73044067,-0.6893094778060913,0.22976982593536377,-9.880102157592773
73.04456200,73044562,-0.6893094778060913,73044562,-0.6893094778060913,0.22976982593536377,-9.956692695617676
73.04511800,73045118,-0.6127195358276367,73045118,-0.6127195358276367,0.22976982593536377,-9.803512573242188
73.04557900,73045579,-0.7658994197845459,73045579,-0.7658994197845459,0.15317988395690918,-9.880102157592773
73.04606300,73046063,-0.6127195358276367,73046063,-0.6127195358276367,0.22976982593536377,-9.803512573242188
73.04657300,73046573,-0.7658994197845459,73046573,-0.7658994197845459,0.15317988395690918,-9.956692695617676
73.04706000,73047060,-0.6893094778060913,73047060,-0.6893094778060913,0.22976982593536377,-9.880102157592773
73.04762400,73047624,-0.6893094778060913,73047624,-0.6893094778060913,0.15317988395690918,-9.803512573242188
73.04806900,73048069,-0.7658994197845459,73048069,-0.7658994197845459,0.30635976791381836,-9.803512573242188
73.04856700,73048567,-0.6893094778060913,73048567,-0.6893094778060913,0.15317988395690918,-9.803512573242188
73.04906200,73049062,-0.6127195358276367,73049062,-0.6127195358276367,0.22976982593536377,-9.726922988891602
73.04956800,73049568,-0.6893094778060913,73049568,-0.6893094778060913,0.15317988395690918,-9.803512573242188
73.05011400,73050114,-0.6127195358276367,73050114,-0.6127195358276367,0.22976982593536377,-9.803512573242188
73.05057500,73050575,-0.6893094778060913,73050575,-0.6893094778060913,0.22976982593536377,-9.803512573242188
73.05106400,73051064,-0.6893094778060913,73051064,-0.6893094778060913,0.15317988395690918,-9.803512573242188
73.05157400,73051574,-0.6893094778060913,73051574,-0.6893094778060913,0.30635976791381836,-9.880102157592773
73.05206100,73052061,-0.8424893617630005,73052061,-0.8424893617630005,0.22976982593536377,-9.956692695617676
73.05266800,73052668,-0.6893094778060913,73052668,-0.6893094778060913,0.15317988395690918,-10.033282279968262
73.05268000,73052680,-0.7658994197845459,73052680,-0.7658994197845459,0.22976982593536377,-9.803512573242188
73.05354300,73053543,-0.6127195358276367,73053543,-0.6127195358276367,0.15317988395690918,-9.956692695617676
73.05408900,73054089,-0.8424893617630005,73054089,-0.8424893617630005,0.22976982593536377,-10.033282279968262
73.05456700,73054567,-0.7658994197845459,73054567,-0.7658994197845459,0.07658994197845459,-9.880102157592773
73.05512700,73055127,-0.6893094778060913,73055127,-0.6893094778060913,0.30635976791381836,-10.033282279968262
73.05513900,73055139,-0.6893094778060913,73055139,-0.6893094778060913,0.30635976791381836,-9.880102157592773
73.05557600,73055576,-0.6893094778060913,73055576,-0.6893094778060913,0.07658994197845459,-9.880102157592773
73.05660100,73056601,-0.6127195358276367,73056601,-0.6127195358276367,0.15317988395690918,-9.956692695617676
73.05661200,73056612,-0.7658994197845459,73056612,-0.7658994197845459,0.22976982593536377,-9.880102157592773
73.05706500,73057065,-0.7658994197845459,73057065,-0.7658994197845459,0.15317988395690918,-9.880102157592773
73.05762300,73057623,-0.6893094778060913,73057623,-0.6893094778060913,0.22976982593536377,-9.803512573242188
73.05806900,73058069,-0.6127195358276367,73058069,-0.6127195358276367,0.07658994197845459,-9.726922988891602
73.05854300,73058543,-0.6127195358276367,73058543,-0.6127195358276367,0.22976982593536377,-9.880102157592773
73.05907700,73059077,-0.7658994197845459,73059077,-0.7658994197845459,0.15317988395690918,-9.803512573242188
73.05956900,73059569,-0.6127195358276367,73059569,-0.6127195358276367,0.30635976791381836,-9.803512573242188
73.06011200,73060112,-0.8424893617630005,73060112,-0.8424893617630005,0.30635976791381836,-9.880102157592773
73.06057900,73060579,-0.6127195358276367,73060579,-0.6127195358276367,0.15317988395690918,-9.803512573242188
73.06103400,73061034,-0.6893094778060913,73061034,-0.6893094778060913,0.15317988395690918,-9.803512573242188
73.06158200,73061582,-0.7658994197845459,73061582,-0.7658994197845459,0.30635976791381836,-9.880102157592773
73.06206100,73062061,-0.7658994197845459,73062061,-0.7658994197845459,0.07658994197845459,-9.880102157592773
73.06261500,73062615,-0.6127195358276367,73062615,-0.6127195358276367,0.15317988395690918,-9.803512573242188
73.06306900,73063069,-0.6893094778060913,73063069,-0.6893094778060913,0.15317988395690918,-9.880102157592773
73.06353700,73063537,-0.6893094778060913,73063537,-0.6893094778060913,0.30635976791381836,-9.880102157592773
73.06407700,73064077,-0.7658994197845459,73064077,-0.7658994197845459,0.15317988395690918,-9.880102157592773
73.06457100,73064571,-0.6127195358276367,73064571,-0.6127195358276367,0.30635976791381836,-9.880102157592773
73.06512100,73065121,-0.6893094778060913,73065121,-0.6893094778060913,0.07658994197845459,-9.880102157592773
73.06557000,73065570,-0.6127195358276367,73065570,-0.6127195358276367,0.15317988395690918,-9.803512573242188
73.06604000,73066040,-0.6127195358276367,73066040,-0.6127195358276367,0.22976982593536377,-9.803512573242188
73.06658900,73066589,-0.6127195358276367,73066589,-0.6127195358276367,0.15317988395690918,-9.880102157592773
