timestamp,TimeUS,GYROx,TimeUS,GYROx,GYROy,GYROz
73.04102400,73041024,-0.019499629735946655,73041024,-0.019499629735946655,0.022162821143865585,0.008936329744756222
73.04151600,73041516,-0.013107848353683949,73041516,-0.013107848353683949,0.005118071101605892,-0.0006513429107144475
73.04202000,73042020,-0.007781362626701593,73042020,-0.007781362626701593,-0.004469601437449455,-0.002781936898827553
73.04257200,73042572,0.000741012510843575,73042572,0.000741012510843575,0.004052774049341679,0.0014792508445680141
73.04302400,73043024,-0.007781362626701593,73043024,-0.007781362626701593,0.011509853415191174,-0.0038472337182611227
73.04351800,73043518,-0.007781362626701593,73043518,-0.007781362626701593,0.012575148604810238,-0.004912530537694693
73.04402100,73044021,-0.0035201753489673138,73044021,-0.0035201753489673138,-0.0034043043851852417,-0.0017166398465633392
73.04451700,73044517,0.003936903551220894,73044517,0.003936903551220894,-0.01725316420197487,-0.004912530537694693
73.04506500,73045065,0.00500220013782382,73045065,0.00500220013782382,-0.027906134724617004,-0.00917371828109026
73.04552000,73045520,0.01139398105442524,73045520,0.01139398105442524,-0.027906134724617004,0.0014792508445680141
73.04601800,73046018,0.008198090828955173,73046018,0.008198090828955173,-0.015122571028769016,0.0036098449490964413
73.04652500,73046525,0.00500220013782382,73046525,0.00500220013782382,-0.004469601437449455,0.01852400228381157
73.04701600,73047016,0.001806309330277145,73047016,0.001806309330277145,0.011509853415191174,0.011066922917962074
73.04757300,73047573,0.0028716064989566803,73047573,0.0028716064989566803,0.01044455636292696,-0.0017166398465633392
73.04802000,73048020,0.007132794242352247,73048020,0.007132794242352247,0.011509853415191174,-0.010239015333354473
73.04852100,73048521,0.000741012510843575,73048521,0.000741012510843575,0.005118071101605892,-0.011304312385618687
73.04901700,73049017,0.00500220013782382,73049017,0.00500220013782382,-0.006600195541977882,0.0014792508445680141
73.04952300,73049523,-0.005650768987834454,73049523,-0.005650768987834454,-0.021514352411031723,-0.005977827589958906
73.05006300,73050063,0.0028716064989566803,73050063,0.0028716064989566803,-0.03536321222782135,-0.00917371828109026
73.05052700,73050527,0.006067497190088034,73050527,0.006067497190088034,-0.02897142991423607,-0.008108421228826046
73.05101700,73051017,0.013524575158953667,73051017,0.013524575158953667,-0.007665492128580809,0.0046751415356993675
73.05152700,73051527,0.0028716064989566803,73051527,0.0028716064989566803,0.009379259310662746,0.012132219970226288
73.05201700,73052017,-0.0035201753489673138,73052017,-0.0035201753489673138,0.015771038830280304,0.013197517022490501
73.05256500,73052565,-0.013107848353683949,73052565,-0.013107848353683949,0.007248665206134319,0.010001626797020435
73.05302100,73053021,-0.016303738579154015,73053021,-0.016303738579154015,0.01044455636292696,0.007871032692492008
73.05403100,73054031,-0.025891412049531937,73054031,-0.025891412049531937,0.006183368153870106,0.0046751415356993675
73.05404100,73054041,-0.021630223840475082,73054041,-0.021630223840475082,0.008313962258398533,-0.014500202611088753
73.05451700,73054517,-0.007781362626701593,73054517,-0.007781362626701593,0.004052774049341679,-0.00917371828109026
73.05507000,73055070,0.01458987221121788,73055070,0.01458987221121788,0.002987476997077465,-0.0017166398465633392
73.05552700,73055527,0.028438732028007507,73055527,0.028438732028007507,-0.00020841415971517563,0.023850485682487488
73.05653000,73056530,0.025242840871214867,73056530,0.025242840871214867,0.0019221799448132515,0.011066922917962074
73.05654100,73056541,0.01458987221121788,73056541,0.01458987221121788,0.005118071101605892,-0.002781936898827553
73.05701900,73057019,0.003936903551220894,73057019,0.003936903551220894,-0.002339007332921028,-0.017696093767881393
73.05757400,73057574,-0.0035201753489673138,73057574,-0.0035201753489673138,-0.011926679871976376,-0.004912530537694693
73.05802300,73058023,0.000741012510843575,73058023,0.000741012510843575,-0.006600195541977882,0.0014792508445680141
73.05902200,73059022,0.000741012510843575,73059022,0.000741012510843575,0.005118071101605892,0.015328111127018929
73.05903300,73059033,0.01458987221121788,73059033,0.01458987221121788,-0.002339007332921028,0.008936329744756222
73.05952000,73059520,0.00500220013782382,73059520,0.00500220013782382,-0.00873078964650631,0.00041395402513444424
73.06006500,73060065,0.0103286849334836,73060065,0.0103286849334836,-0.00873078964650631,-0.00704312464222312
73.06053000,73060530,-0.00032428442500531673,73060530,-0.00032428442500531673,0.006183368153870106,-0.005977827589958906
73.06152400,73061524,0.006067497190088034,73061524,0.006067497190088034,0.007248665206134319,0.0025445478968322277
73.06153800,73061538,0.003936903551220894,73061538,0.003936903551220894,0.0008568828925490379,-0.0017166398465633392
73.06201700,73062017,0.006067497190088034,73062017,0.006067497190088034,-0.009796086698770523,0.00041395402513444424
73.06256700,73062567,-0.0013895813608542085,73062567,-0.0013895813608542085,-0.01299197692424059,-0.0038472337182611227
73.06302200,73063022,0.0103286849334836,73063022,0.0103286849334836,-0.016187867149710655,-0.0006513429107144475
73.06402200,73064022,0.01139398105442524,73064022,0.01139398105442524,-0.007665492128580809,-0.005977827589958906
73.06403300,73064033,0.022046951577067375,73064033,0.022046951577067375,-0.00873078964650631,-0.005977827589958906
73.06452300,73064523,0.003936903551220894,73064523,0.003936903551220894,0.0008568828925490379,-0.011304312385618687
73.06506900,73065069,0.000741012510843575,73065069,0.000741012510843575,-0.002339007332921028,-0.00704312464222312
73.06552100,73065521,-0.008846660144627094,73065521,-0.008846660144627094,0.005118071101605892,-0.00704312464222312
73.06652900,73066529,0.000741012510843575,73066529,0.000741012510843575,-0.004469601437449455,-0.00704312464222312
73.06653900,73066539,0.0103286849334836,73066539,0.0103286849334836,-0.00020841415971517563,0.007871032692492008
